sourceName,sourceUrl,files,sections,rowCount,validationUses,confidenceLevels,comparabilityClasses
Federal Constitutional Court official pages,https://www.bundesverfassungsgericht.de/EN/TheFederalConstitutionalCourt/thefederalconstitutionalcourt_node.html,comparative-court-design-presets.csv;cross-national-calibration-targets.csv;institutional-cost-delay-complexity-benchmarks.csv,"Comparative court design presets;Cross-national calibration targets;Institutional budget, delay, and complexity benchmarks",3,paper_only_context;strict_validation,high,benchmark_or_constraint;design_context;paper_context
Justice Canada - Section 33,https://www.justice.gc.ca/eng/csj-sjc/rfc-dlc/ccrf-ccdl/check/art33.html,cross-national-calibration-targets.csv,Cross-national calibration targets,1,strict_validation,high,benchmark_or_constraint
Justice Canada materials,https://www.justice.gc.ca/eng/csj-sjc/rfc-dlc/ccrf-ccdl/check/art33.html,comparative-court-design-presets.csv,Comparative court design presets,1,paper_only_context,medium,design_context
Memoria 2024 / estadisticas,https://www.tribunalconstitucional.es/es/jurisprudencia/InformacionRelevante/ESTADISTICAS-2024.pdf,lower-court-intake-calibration.csv,Lower-court and intake calibration,1,strict_validation,high,benchmark_or_constraint
Nota informativa 1/2025,https://www.tribunalconstitucional.es/NotasDePrensaDocumentos/NP_2025_001/NOTA%20INFORMATIVA%20N%C2%BA%201-2025.pdf,lower-court-intake-calibration.csv,Lower-court and intake calibration,2,strict_validation,high,benchmark_or_constraint
Nota informativa 68/2025,https://www.tribunalconstitucional.es/NotasDePrensaDocumentos/NP_2025_068/NOTA%20INFORMATIVA%20N%C2%BA%2068-2025.pdf,lower-court-intake-calibration.csv,Lower-court and intake calibration,1,loose_calibration,high,benchmark_or_constraint
Order abstract of 18 Aug 2020,https://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/EN/2020/08/rk20200818_1bvr191820en.html,emergency-docket-calibration.csv,Emergency docket calibration,1,strict_validation,high,benchmark_or_constraint
QPC360 + official constitutional structure,https://qpc360.conseil-constitutionnel.fr/45-decisions-qpc-conseil-constitutionnel-2023-la2,comparative-court-design-presets.csv,Comparative court design presets,1,paper_only_context,medium,design_context
QPC360 - 45 decisions in 2023,https://qpc360.conseil-constitutionnel.fr/45-decisions-qpc-conseil-constitutionnel-2023-la2,lower-court-intake-calibration.csv,Lower-court and intake calibration,2,loose_calibration;strict_validation,high,benchmark_or_constraint
SCOTUSblog Interim Docket,https://www.scotusblog.com/cases/interim-docket/2024/,emergency-docket-calibration.csv,Emergency docket calibration,3,loose_calibration;strict_validation,high;medium,benchmark_or_constraint;binary_procedure_indicator
Supreme Court Shadow Docket Database,https://www.shadowdocketdata.com/,emergency-docket-calibration.csv,Emergency docket calibration,1,paper_only_context,high,paper_context
Supreme Court year-end reports + shadow docket sources,https://www.supremecourt.gov/publicinfo/year-end/2025year-endreport.pdf,comparative-court-design-presets.csv,Comparative court design presets,1,paper_only_context,medium,design_context
Tribunal Constitucional composition page,https://www.tribunalconstitucional.es/es/tribunal/Composicion-Organizacion/composicion/Paginas/default.aspx,cross-national-calibration-targets.csv;institutional-cost-delay-complexity-benchmarks.csv,"Cross-national calibration targets;Institutional budget, delay, and complexity benchmarks",2,paper_only_context;strict_validation,high,benchmark_or_constraint;paper_context
Tribunal Constitucional magistrados page,https://www.tribunalconstitucional.es/es/tribunal/Composicion-Organizacion/composicion/Paginas/magistrados.aspx,cross-national-calibration-targets.csv,Cross-national calibration targets,1,strict_validation,high,benchmark_or_constraint
Tribunal Constitucional official pages,https://www.tribunalconstitucional.es/es/tribunal/Composicion-Organizacion/composicion/Paginas/default.aspx,comparative-court-design-presets.csv,Comparative court design presets,1,paper_only_context,high,design_context
