metric,observations,termRange,sourceKeys,rawMin,p05,median,p95,rawMax
fr_qpc_avgProcessingTime,1,as of 2023-07-31,supreme-court-simulator-litigation-pipeline-incentives,74.000,74.000,74.000,74.000,74.000
fr_qpc_delayedEffectRate_decidedQPC,1,2010-05-28 to 2023-07-31,supreme-court-simulator-litigation-pipeline-incentives,0.126,0.126,0.126,0.126,0.126
fr_qpc_enterpriseRequester_count,1,reference period in QPC360 litigants study,supreme-court-simulator-litigation-pipeline-incentives,146.000,146.000,146.000,146.000,146.000
fr_qpc_invalidityRate_decidedQPC,1,2010-05-28 to 2023-07-31,supreme-court-simulator-litigation-pipeline-incentives,0.350,0.350,0.350,0.350,0.350
france_exAnteReview_deadlineStandard,1,current constitutional rule,supreme-court-simulator-institutional-design-and-empirical-anchors,30.000,30.000,30.000,30.000,30.000
france_exAnteReview_deadlineUrgent,1,current constitutional rule,supreme-court-simulator-institutional-design-and-empirical-anchors,8.000,8.000,8.000,8.000,8.000
france_ex_ante_strike_rate,1,2002-2015,cross-national-calibration-targets,0.480,0.480,0.480,0.480,0.480
france_qpc_decisions,1,2023,lower-court-intake-calibration,45.000,45.000,45.000,45.000,45.000
france_qpc_decisionsTotal,1,2010-03-01 to 2024-12-31,supreme-court-simulator-institutional-design-and-empirical-anchors,1011.000,1011.000,1011.000,1011.000,1011.000
france_qpc_mean_per_year_since_2010,1,2010-2023,lower-court-intake-calibration,79.400,79.400,79.400,79.400,79.400
france_qpc_referralsFromConseilEtat,1,2010-03-01 to 2024-12-31,supreme-court-simulator-institutional-design-and-empirical-anchors,501.000,501.000,501.000,501.000,501.000
france_qpc_referralsTotal,1,2010-03-01 to 2024-12-31,supreme-court-simulator-institutional-design-and-empirical-anchors,1128.000,1128.000,1128.000,1128.000,1128.000
genuineConflictAmongAlleged_rate,1,1986–1993,supreme-court-simulator-calibration-targets,0.140,0.140,0.140,0.140,0.140
genuineConflictGrantRate,1,1986–1993,supreme-court-simulator-calibration-targets,0.160,0.160,0.160,0.160,0.160
germany_chamber_escalation_if_no_agreement,1,stable,emergency-docket-calibration,1.000,1.000,1.000,1.000,1.000
germany_constComplaint_cumulativeSince1951,1,1951 to 2023/2024 reporting,supreme-court-simulator-institutional-design-and-empirical-anchors,252000.000,252000.000,252000.000,252000.000,252000.000
germany_constComplaint_shareNewCases,1,2024,supreme-court-simulator-institutional-design-and-empirical-anchors,0.960,0.960,0.960,0.960,0.960
germany_constitutional_complaint_share_new_cases,1,2024,lower-court-intake-calibration,0.960,0.960,0.960,0.960,0.960
germany_court_size,1,stable,cross-national-calibration-targets,16.000,16.000,16.000,16.000,16.000
germany_judicial_budget_per_capita,1,2022,institutional-cost-delay-complexity-benchmarks,136.100,136.100,136.100,136.100,136.100
germany_preliminary_injunction_available,1,stable,emergency-docket-calibration,1.000,1.000,1.000,1.000,1.000
germany_preliminary_injunction_balancing_test,1,stable,emergency-docket-calibration,1.000,1.000,1.000,1.000,1.000
germany_term_years,1,stable,cross-national-calibration-targets,12.000,12.000,12.000,12.000,12.000
grantRate_anyCertStageAmicus_paidNonOSG,1,OT2005,supreme-court-simulator-calibration-targets,0.194,0.194,0.194,0.194,0.194
grantRate_fourPlusCertStageAmici_paidNonOSG,1,OT2005,supreme-court-simulator-calibration-targets,0.563,0.563,0.563,0.563,0.563
grantRate_noCertStageAmicus_paidNonOSG,1,OT2005,supreme-court-simulator-calibration-targets,0.022,0.022,0.022,0.022,0.022
grantSetForArgumentRate_raw,1,OT2023,supreme-court-simulator-calibration-targets,0.016,0.016,0.016,0.016,0.016
ifpPetitionShare,2,OT2023-OT2024,scotus-certiorari-docketed-cohort-ot2023;scotus-certiorari-docketed-cohort-ot2024,0.656,0.657,0.665,0.673,0.674
invalidationRate,79,1946-2024,scdb-modern-2025-01,0.000,0.023,0.066,0.121,0.153
italy_avgDaysPublicationToHearing,1,2024,supreme-court-simulator-institutional-design-and-empirical-anchors,191.000,191.000,191.000,191.000,191.000
italy_courts_budget_per_capita,1,2022,institutional-cost-delay-complexity-benchmarks,67.200,67.200,67.200,67.200,67.200
italy_directApplicationsInitiated,1,2024,supreme-court-simulator-institutional-design-and-empirical-anchors,39.000,39.000,39.000,39.000,39.000
italy_incidentalDecisions,1,2024,supreme-court-simulator-institutional-design-and-empirical-anchors,138.000,138.000,138.000,138.000,138.000
italy_incidentalReferralOrders,1,2024,supreme-court-simulator-institutional-design-and-empirical-anchors,248.000,248.000,248.000,248.000,248.000
italy_incidental_review_share,1,2024,lower-court-intake-calibration,0.656,0.656,0.656,0.656,0.656
italy_judicial_budget_per_capita,1,2022,institutional-cost-delay-complexity-benchmarks,100.600,100.600,100.600,100.600,100.600
italy_totalDecisions,1,2024,supreme-court-simulator-institutional-design-and-empirical-anchors,212.000,212.000,212.000,212.000,212.000
italy_total_civil_procedure_days_three_instances,1,2022,institutional-cost-delay-complexity-benchmarks,2356.000,2356.000,2356.000,2356.000,2356.000
italy_total_decisions,1,2024,lower-court-intake-calibration,212.000,212.000,212.000,212.000,212.000
judicial_budget_per_capita_coe_median,1,2020,institutional-cost-delay-complexity-benchmarks,79.000,79.000,79.000,79.000,79.000
korea_constitutional_complaint_share_cumulative,1,1988-Mar-2026,lower-court-intake-calibration,0.977,0.977,0.977,0.977,0.977
korea_court_size,1,stable,cross-national-calibration-targets,9.000,9.000,9.000,9.000,9.000
korea_panel_dismissal_share_of_complaints_cumulative,1,1988-Mar-2026,lower-court-intake-calibration,0.649,0.649,0.649,0.649,0.649
korea_panel_transfer_deadline_days,1,stable,emergency-docket-calibration,30.000,30.000,30.000,30.000,30.000
korea_recusal_available,1,stable,emergency-docket-calibration,1.000,1.000,1.000,1.000,1.000
korea_supermajority_votes_for_unconstitutionality,1,stable,cross-national-calibration-targets,6.000,6.000,6.000,6.000,6.000
lowerCourtAdverseShareAmongCitedOrAdverse_allPrecedents,10,1995-2004,masood-kassow-songer-2019-precedent-treatment,0.020,0.023,0.033,0.064,0.067
lowerCourtAdverseShareAmongCitedOrAdverse_constitutionalIssues,10,1995-2004,masood-kassow-songer-2019-precedent-treatment,0.020,0.023,0.056,0.101,0.116
lowerCourtAutomatedDirectionalCandidateShare_massachusetts-v-epa-2007,1,2007,courtlistener-environmental-scotus-citation-events,0.026,0.026,0.026,0.026,0.026
lowerCourtAutomatedDirectionalCandidateShare_michigan-v-epa-2015,1,2015,courtlistener-environmental-scotus-citation-events,0.000,0.000,0.000,0.000,0.000
lowerCourtAutomatedDirectionalCandidateShare_rapanos-v-united-states-2006,1,2006,courtlistener-environmental-scotus-citation-events,0.333,0.333,0.333,0.333,0.333
lowerCourtAutomatedDirectionalCandidateShare_sackett-v-epa-2023,1,2023,courtlistener-environmental-scotus-citation-events,0.000,0.000,0.000,0.000,0.000
lowerCourtAutomatedDirectionalCandidateShare_utility-air-regulatory-group-v-epa-2014,1,2014,courtlistener-environmental-scotus-citation-events,0.000,0.000,0.000,0.000,0.000
lowerCourtCitationContextCoverage_massachusetts-v-epa-2007,1,2007,courtlistener-environmental-scotus-citation-events,0.513,0.513,0.513,0.513,0.513
lowerCourtCitationContextCoverage_michigan-v-epa-2015,1,2015,courtlistener-environmental-scotus-citation-events,0.720,0.720,0.720,0.720,0.720
lowerCourtCitationContextCoverage_rapanos-v-united-states-2006,1,2006,courtlistener-environmental-scotus-citation-events,0.366,0.366,0.366,0.366,0.366
lowerCourtCitationContextCoverage_sackett-v-epa-2023,1,2023,courtlistener-environmental-scotus-citation-events,1.000,1.000,1.000,1.000,1.000
lowerCourtCitationContextCoverage_utility-air-regulatory-group-v-epa-2014,1,2014,courtlistener-environmental-scotus-citation-events,0.864,0.864,0.864,0.864,0.864
lowerCourtFollowedShareAmongCitedOrFollowed_allPrecedents,10,1995-2004,masood-kassow-songer-2019-precedent-treatment,0.152,0.154,0.183,0.239,0.252
lowerCourtFollowedShareAmongCitedOrFollowed_constitutionalIssues,10,1995-2004,masood-kassow-songer-2019-precedent-treatment,0.136,0.141,0.163,0.199,0.220
lowerCourtFollowedShareAmongDirectionalTreatments_allPrecedents,10,1995-2004,masood-kassow-songer-2019-precedent-treatment,0.724,0.763,0.869,0.914,0.919
lowerCourtFollowedShareAmongDirectionalTreatments_constitutionalIssues,10,1995-2004,masood-kassow-songer-2019-precedent-treatment,0.566,0.612,0.799,0.883,0.905
lowerCourtPublicFullTextCoverage_massachusetts-v-epa-2007,1,2007,courtlistener-environmental-scotus-citation-events,0.513,0.513,0.513,0.513,0.513
lowerCourtPublicFullTextCoverage_michigan-v-epa-2015,1,2015,courtlistener-environmental-scotus-citation-events,0.720,0.720,0.720,0.720,0.720
lowerCourtPublicFullTextCoverage_rapanos-v-united-states-2006,1,2006,courtlistener-environmental-scotus-citation-events,0.366,0.366,0.366,0.366,0.366
lowerCourtPublicFullTextCoverage_sackett-v-epa-2023,1,2023,courtlistener-environmental-scotus-citation-events,1.000,1.000,1.000,1.000,1.000
lowerCourtPublicFullTextCoverage_utility-air-regulatory-group-v-epa-2014,1,2014,courtlistener-environmental-scotus-citation-events,0.864,0.864,0.864,0.864,0.864
lowerCourtPublishedCitationPresenceByCircuit_massachusetts-v-epa-2007,1,2007,courtlistener-environmental-circuit-exposure,0.923,0.923,0.923,0.923,0.923
lowerCourtPublishedCitationPresenceByCircuit_michigan-v-epa-2015,1,2015,courtlistener-environmental-circuit-exposure,0.615,0.615,0.615,0.615,0.615
lowerCourtPublishedCitationPresenceByCircuit_rapanos-v-united-states-2006,1,2006,courtlistener-environmental-circuit-exposure,0.769,0.769,0.769,0.769,0.769
lowerCourtPublishedCitationPresenceByCircuit_sackett-v-epa-2023,1,2023,courtlistener-environmental-circuit-exposure,0.308,0.308,0.308,0.308,0.308
lowerCourtPublishedCitationPresenceByCircuit_utility-air-regulatory-group-v-epa-2014,1,2014,courtlistener-environmental-circuit-exposure,0.846,0.846,0.846,0.846,0.846
meritsCaseCoverage_scdb,1,1791–2024 Terms,supreme-court-simulator-calibration-targets,2024.000,2024.000,2024.000,2024.000,2024.000
meritsReviewRate,79,1946-2024,scdb-modern-2025-01,1.000,1.000,1.000,1.000,1.000
mexico_accionesInconstitucionalidad_admitted,1,2024,supreme-court-simulator-institutional-design-and-empirical-anchors,189.000,189.000,189.000,189.000,189.000
mexico_accionesInconstitucionalidad_promoted,1,2024,supreme-court-simulator-institutional-design-and-empirical-anchors,197.000,197.000,197.000,197.000,197.000
mexico_amparoDirect_filings,1,2024,supreme-court-simulator-institutional-design-and-empirical-anchors,182036.000,182036.000,182036.000,182036.000,182036.000
mexico_amparoIndirect_filings,1,2024,supreme-court-simulator-institutional-design-and-empirical-anchors,643245.000,643245.000,643245.000,643245.000,643245.000
mexico_constroversias_admitted,1,2024,supreme-court-simulator-institutional-design-and-empirical-anchors,299.000,299.000,299.000,299.000,299.000
mexico_constroversias_promoted,1,2024,supreme-court-simulator-institutional-design-and-empirical-anchors,449.000,449.000,449.000,449.000,449.000
noncapitalAmicusRate,1,OT2003–OT2021,supreme-court-simulator-calibration-targets,0.180,0.180,0.180,0.180,0.180
noncapitalApplications_total,1,OT2003–OT2021,supreme-court-simulator-calibration-targets,526.000,526.000,526.000,526.000,526.000
noncapitalCFRShare_amongResponses,1,OT2003–OT2021,supreme-court-simulator-calibration-targets,0.850,0.850,0.850,0.850,0.850
noncapitalDissentRate_any,1,OT2003–OT2021,supreme-court-simulator-calibration-targets,0.250,0.250,0.250,0.250,0.250
noncapitalExplanationRate_any,1,OT2003–OT2021,supreme-court-simulator-calibration-targets,0.090,0.090,0.090,0.090,0.090
noncapitalGrantRate_initialReferral,1,OT2003–OT2021,supreme-court-simulator-calibration-targets,0.430,0.430,0.430,0.430,0.430
noncapitalGrantRate_noLinkedMerits,1,OT2003–OT2021,supreme-court-simulator-calibration-targets,0.250,0.250,0.250,0.250,0.250
noncapitalGrantRate_overall,1,OT2003–OT2021,supreme-court-simulator-calibration-targets,0.230,0.230,0.230,0.230,0.230
noncapitalReplyRate_amongResponses,1,OT2003–OT2021,supreme-court-simulator-calibration-targets,0.800,0.800,0.800,0.800,0.800
noncapitalResponseBriefRate,1,OT2003–OT2021,supreme-court-simulator-calibration-targets,0.530,0.530,0.530,0.530,0.530
paidPetitionShare,2,OT2023-OT2024,scotus-certiorari-docketed-cohort-ot2023;scotus-certiorari-docketed-cohort-ot2024,0.326,0.327,0.335,0.343,0.344
precedentStability,79,1946-2024,scdb-modern-2025-01,0.933,0.956,0.983,1.000,1.000
presidentialEmergencyApplications_peak,1,"admin-year ending Oct. 3, 2025",supreme-court-simulator-calibration-targets,22.000,22.000,22.000,22.000,22.000
prior_advocateCapital_merits_shift,1,synthetic from 1977-1982 studies,supreme-court-simulator-litigation-pipeline-incentives,0.070,0.070,0.070,0.070,0.070
prior_cert_signal_formerClerk,1,synthetic from 2003-2015 study,supreme-court-simulator-litigation-pipeline-incentives,0.100,0.100,0.100,0.100,0.100
prior_pathway_discount_stateOrigin,1,synthetic from 2002-2014 descriptor,supreme-court-simulator-litigation-pipeline-incentives,0.590,0.590,0.590,0.590,0.590
prior_us_discretionaryReview_base,1,synthetic from OT2023-OT2024,supreme-court-simulator-litigation-pipeline-incentives,0.010,0.010,0.010,0.010,0.010
recusalRate,1,1946-2003,black-epstein-recusal,0.009,0.009,0.009,0.009,0.009
relistRate,2,OT2023-OT2024,scotus-certiorari-docketed-cohort-ot2023;scotus-certiorari-docketed-cohort-ot2024,0.111,0.113,0.126,0.139,0.140
rightsClaimRate,79,1946-2024,scdb-modern-2025-01,0.133,0.159,0.299,0.383,0.410
scotus_arguedCases,1,2024 Term,supreme-court-simulator-institutional-design-and-empirical-anchors,73.000,73.000,73.000,73.000,73.000
scotus_docketedCases,1,2023 Term,supreme-court-simulator-institutional-design-and-empirical-anchors,4223.000,4223.000,4223.000,4223.000,4223.000
scotus_plenaryReviewGrants,1,2023 Term,supreme-court-simulator-institutional-design-and-empirical-anchors,69.000,69.000,69.000,69.000,69.000
scotus_totalFilings,1,2024 Term,supreme-court-simulator-institutional-design-and-empirical-anchors,3856.000,3856.000,3856.000,3856.000,3856.000
selfRepresentedLeaveApplicantsShare,1,2023,supreme-court-simulator-calibration-targets,0.280,0.280,0.280,0.280,0.280
sgResponsePredictiveValue_allFederalRespondents,1,OT2001–OT2004,supreme-court-simulator-calibration-targets,0.021,0.021,0.021,0.021,0.021
sgVoluntaryResponseRate_USRespondent_ifp,1,OT2001–OT2004,supreme-court-simulator-calibration-targets,0.103,0.103,0.103,0.103,0.103
sgVoluntaryResponseRate_USRespondent_paid,1,OT2001–OT2004,supreme-court-simulator-calibration-targets,0.320,0.320,0.320,0.320,0.320
shadowDocketAbuse,22,2003-2024,shadow-docket-v2-0,0.065,0.069,0.222,0.361,0.538
shadowDocketWrittenDissents_peak,1,2018 Term,supreme-court-simulator-calibration-targets,61.000,61.000,61.000,61.000,61.000
southAfricaLandmarkCaseStudyN,1,assessment released 2017; covers post-1994 constitutional jurisprudence,supreme-court-simulator-institutional-design-evidence,43.000,43.000,43.000,43.000,43.000
spain_amparo_admissionRate,1,2024,supreme-court-simulator-institutional-design-and-empirical-anchors,0.023,0.023,0.023,0.023,0.023
spain_amparo_admission_rate,1,2024,lower-court-intake-calibration,0.016,0.016,0.016,0.016,0.016
spain_amparo_admitted,1,2024,lower-court-intake-calibration,153.000,153.000,153.000,153.000,153.000
spain_amparo_filings,1,2024,lower-court-intake-calibration,9796.000,9796.000,9796.000,9796.000,9796.000
spain_amparo_fromSupremeCourtShare,1,2024,supreme-court-simulator-institutional-design-and-empirical-anchors,0.625,0.625,0.625,0.625,0.625
spain_amparo_newCases,1,2024,supreme-court-simulator-institutional-design-and-empirical-anchors,9796.000,9796.000,9796.000,9796.000,9796.000
spain_amparo_share_total_matters,1,2024,lower-court-intake-calibration,0.992,0.992,0.992,0.992,0.992
spain_court_size,1,stable,cross-national-calibration-targets,12.000,12.000,12.000,12.000,12.000
spain_first_instance_civil_disposition_days,1,2022,institutional-cost-delay-complexity-benchmarks,359.000,359.000,359.000,359.000,359.000
spain_pending_amparo_admissibility,1,2024,lower-court-intake-calibration,3264.000,3264.000,3264.000,3264.000,3264.000
spain_term_years,1,stable,cross-national-calibration-targets,9.000,9.000,9.000,9.000,9.000
spain_total_matters,1,2024,lower-court-intake-calibration,9871.000,9871.000,9871.000,9871.000,9871.000
specialistCounselDenyRate_ChristopherLandau_filtered,1,2001–2015,supreme-court-simulator-calibration-targets,0.947,0.947,0.947,0.947,0.947
specialistCounselGrantRate_JeffreyFisher_filtered,1,2001–2015,supreme-court-simulator-calibration-targets,0.291,0.291,0.291,0.291,0.291
statutoryStability,79,1946-2024,scdb-modern-2025-01,0.847,0.879,0.934,0.977,1.000
structuralRate,79,1946-2024,scdb-modern-2025-01,0.133,0.145,0.223,0.309,0.370
ukLowerCourtResponsesDatasetN,1,1970–2002,supreme-court-simulator-institutional-design-evidence,13000.000,13000.000,13000.000,13000.000,13000.000
ukReviewRateHistoricalComparison,1,roughly 1970–2002 comparison window,supreme-court-simulator-institutional-design-evidence,0.300,0.300,0.300,0.300,0.300
usCourtsOfAppealsFilings,1,FY 2024,supreme-court-simulator-institutional-design-evidence,39788.000,39788.000,39788.000,39788.000,39788.000
usLowerCourtResponseDatasetN,1,dataset spans signed majority-opinion responses; article published 2023,supreme-court-simulator-institutional-design-evidence,130000.000,130000.000,130000.000,130000.000,130000.000
usSupremeCourtFilings,1,OT 2023,supreme-court-simulator-institutional-design-evidence,4223.000,4223.000,4223.000,4223.000,4223.000
usTopCourtDirectReviewShareProxy,1,OT 2023 filings / FY 2024 appeals,supreme-court-simulator-institutional-design-evidence,0.002,0.002,0.002,0.002,0.002
us_argued_cases,1,2023 Term,lower-court-intake-calibration,69.000,69.000,69.000,69.000,69.000
us_argued_to_filing_share,1,2023 Term,lower-court-intake-calibration,0.016,0.016,0.016,0.016,0.016
us_certGrantRate_withVsWithoutSupportiveAmicus,1,2014,supreme-court-simulator-litigation-pipeline-incentives,0.123,0.123,0.123,0.123,0.123
us_certGrant_formerClerk_predicted,1,2003-2015 Terms,supreme-court-simulator-litigation-pipeline-incentives,0.150,0.150,0.150,0.150,0.150
us_certStageAmicus_formerClerk_predicted,1,2003-2015 Terms,supreme-court-simulator-litigation-pipeline-incentives,0.400,0.400,0.400,0.400,0.400
us_certStageAmicus_supportRate,1,2014,supreme-court-simulator-litigation-pipeline-incentives,0.142,0.142,0.142,0.142,0.142
us_cert_votesRequired,1,contemporary rules,supreme-court-simulator-institutional-design-and-empirical-anchors,4.000,4.000,4.000,4.000,4.000
