fieldName,fieldGroup,type,requiredFor,validationUse,simulatorMetric,currentStatus,currentEvidence,sourceSlice,nextCodingAction,completionGate,manuscriptUse
lowerCourt,petition_attributes,string,cert_split_quality;cert_petition_denominator,recommended,lowerCourtSplitDepth,closed_docketed_cohort_complete,"The independently enumerated OT2023 cohort contains 4222 paid/IFP dockets and 4033 certiorari petitions; `lowerCourt` is populated for 4037/4222 all-docket rows and 4033/4033 certiorari rows, with blanks retained only where the field is structurally conditional or not applicable",Beim-Rader conflict rows as a secondary split-quality proxy before locating underlying petition records; OT2023-OT2024 official docketed cohorts complete; next add another mature term or an issue-coded constitutional-review subset,retain `lowerCourt` in the closed cohort and re-run the official-docket extractor when refreshing the publication snapshot,met for the closed OT2023 docketed-intake cohort; preserve source and denominator provenance,direct closed docketed-intake evidence for this docket-visible field; not a census of undocketed submissions or specialist-counsel/split-quality validation
lowerCourtOrigin,petition_attributes,categorical,cert_split_quality;cert_petition_denominator,recommended,lowerCourtSplitDepth,closed_docketed_cohort_complete,"The independently enumerated OT2023 cohort contains 4222 paid/IFP dockets and 4033 certiorari petitions; `lowerCourtOrigin` is populated for 4037/4222 all-docket rows and 4033/4033 certiorari rows, with blanks retained only where the field is structurally conditional or not applicable",Beim-Rader conflict rows as a secondary split-quality proxy before locating underlying petition records; OT2023-OT2024 official docketed cohorts complete; next add another mature term or an issue-coded constitutional-review subset,retain `lowerCourtOrigin` in the closed cohort and re-run the official-docket extractor when refreshing the publication snapshot,met for the closed OT2023 docketed-intake cohort; preserve source and denominator provenance,direct closed docketed-intake evidence for this docket-visible field; not a census of undocketed submissions or specialist-counsel/split-quality validation
issueArea,petition_attributes,categorical,cert_petition_denominator;cert_split_quality,recommended,caseType,recommended_not_row_coded,recommended field for later row-level coding; absent from the current benchmark evidence boundary,OT2023-OT2024 official docketed cohorts complete; next add another mature term or an issue-coded constitutional-review subset; Beim-Rader conflict rows as a secondary split-quality proxy before locating underlying petition records,code `issueArea` from OT2023-OT2024 official docketed cohorts complete; next add another mature term or an issue-coded constitutional-review subset; Beim-Rader conflict rows as a secondary split-quality proxy before locating underlying petition records,"closed petition cohort separates paid and IFP filing, disposition, grant, and set-for-argument status; alleged split, genuine split, split depth, maturity, and disposition are coded in the same petition or conflict sample",no validation upgrade until populated on row-level petition or source-sample rows that reconcile to their denominator
responseFiled,procedure,binary,cert_cfr_response,required,courtRequestedResponseRate,closed_docketed_cohort_complete,"The independently enumerated OT2023 cohort contains 4222 paid/IFP dockets and 4033 certiorari petitions; `responseFiled` is populated for 4222/4222 all-docket rows and 4033/4033 certiorari rows, with blanks retained only where the field is structurally conditional or not applicable",OT2023-OT2024 direct CFR incidence complete; next add respondent and SG-response coding or another mature term,retain `responseFiled` in the closed cohort and re-run the official-docket extractor when refreshing the publication snapshot,met for the closed OT2023 docketed-intake cohort; preserve source and denominator provenance,direct closed docketed-intake evidence for this docket-visible field; not a census of undocketed submissions or specialist-counsel/split-quality validation
responseSource,procedure,categorical,cert_cfr_response,required,solicitorGeneralSignalRate,closed_docketed_cohort_complete,"The independently enumerated OT2023 cohort contains 4222 paid/IFP dockets and 4033 certiorari petitions; `responseSource` is populated for 4150/4222 all-docket rows and 4033/4033 certiorari rows, with blanks retained only where the field is structurally conditional or not applicable",OT2023-OT2024 direct CFR incidence complete; next add respondent and SG-response coding or another mature term,retain `responseSource` in the closed cohort and re-run the official-docket extractor when refreshing the publication snapshot,met for the closed OT2023 docketed-intake cohort; preserve source and denominator provenance,direct closed docketed-intake evidence for this docket-visible field; not a census of undocketed submissions or specialist-counsel/split-quality validation
responseRequestedByCourt,procedure,binary,cert_cfr_response,required,paidCfrRequestRate; ifpCfrRequestRate,closed_docketed_cohort_complete,"The independently enumerated OT2023 cohort contains 4222 paid/IFP dockets and 4033 certiorari petitions; `responseRequestedByCourt` is populated for 4222/4222 all-docket rows and 4033/4033 certiorari rows, with blanks retained only where the field is structurally conditional or not applicable",OT2023-OT2024 direct CFR incidence complete; next add respondent and SG-response coding or another mature term,retain `responseRequestedByCourt` in the closed cohort and re-run the official-docket extractor when refreshing the publication snapshot,met for the closed OT2023 docketed-intake cohort; preserve source and denominator provenance,direct closed docketed-intake evidence for this docket-visible field; not a census of undocketed submissions or specialist-counsel/split-quality validation
cfrDate,procedure,date,cert_cfr_response,recommended,paidCfrRequestRate; ifpCfrRequestRate,closed_docketed_cohort_complete,"The independently enumerated OT2023 cohort contains 4222 paid/IFP dockets and 4033 certiorari petitions; `cfrDate` is populated for 240/4222 all-docket rows and 238/4033 certiorari rows, with blanks retained only where the field is structurally conditional or not applicable",OT2023-OT2024 direct CFR incidence complete; next add respondent and SG-response coding or another mature term,retain `cfrDate` in the closed cohort and re-run the official-docket extractor when refreshing the publication snapshot,met for the closed OT2023 docketed-intake cohort; preserve source and denominator provenance,direct closed docketed-intake evidence for this docket-visible field; not a census of undocketed submissions or specialist-counsel/split-quality validation
cvsgRequested,procedure,binary,cert_cvsg_signal,required,cvsgRequestRate,closed_docketed_cohort_complete,"The independently enumerated OT2023 cohort contains 4222 paid/IFP dockets and 4033 certiorari petitions; `cvsgRequested` is populated for 4222/4222 all-docket rows and 4033/4033 certiorari rows, with blanks retained only where the field is structurally conditional or not applicable",OT2023-OT2024 direct CVSG-request incidence complete; next add SG recommendation and Court-follow-through coding,retain `cvsgRequested` in the closed cohort and re-run the official-docket extractor when refreshing the publication snapshot,met for the closed OT2023 docketed-intake cohort; preserve source and denominator provenance,direct closed docketed-intake evidence for this docket-visible field; not a census of undocketed submissions or specialist-counsel/split-quality validation
cvsgDate,procedure,date,cert_cvsg_signal,recommended,cvsgRequestRate,closed_docketed_cohort_complete,"The independently enumerated OT2023 cohort contains 4222 paid/IFP dockets and 4033 certiorari petitions; `cvsgDate` is populated for 11/4222 all-docket rows and 10/4033 certiorari rows, with blanks retained only where the field is structurally conditional or not applicable",OT2023-OT2024 direct CVSG-request incidence complete; next add SG recommendation and Court-follow-through coding,retain `cvsgDate` in the closed cohort and re-run the official-docket extractor when refreshing the publication snapshot,met for the closed OT2023 docketed-intake cohort; preserve source and denominator provenance,direct closed docketed-intake evidence for this docket-visible field; not a census of undocketed submissions or specialist-counsel/split-quality validation
sgRecommendation,procedure,categorical,cert_cvsg_signal,recommended,solicitorGeneralSignalRate,closed_docketed_cohort_complete,"The independently enumerated OT2023 cohort contains 4222 paid/IFP dockets and 4033 certiorari petitions; `sgRecommendation` is populated for 11/4222 all-docket rows and 10/4033 certiorari rows, with blanks retained only where the field is structurally conditional or not applicable",OT2023-OT2024 direct CVSG-request incidence complete; next add SG recommendation and Court-follow-through coding,retain `sgRecommendation` in the closed cohort and re-run the official-docket extractor when refreshing the publication snapshot,met for the closed OT2023 docketed-intake cohort; preserve source and denominator provenance,direct closed docketed-intake evidence for this docket-visible field; not a census of undocketed submissions or specialist-counsel/split-quality validation
certStageAmicusCount,procedure,number,cert_elite_counsel,recommended,amicusIntensity,closed_docketed_cohort_complete,"The independently enumerated OT2023 cohort contains 4222 paid/IFP dockets and 4033 certiorari petitions; `certStageAmicusCount` is populated for 4222/4222 all-docket rows and 4033/4033 certiorari rows, with blanks retained only where the field is structurally conditional or not applicable",Feldman-Kappner filtered elite-counsel rows and Lazarus OT2005 non-SG amicus rows as bounded proxy slices,retain `certStageAmicusCount` in the closed cohort and re-run the official-docket extractor when refreshing the publication snapshot,met for the closed OT2023 docketed-intake cohort; preserve source and denominator provenance,direct closed docketed-intake evidence for this docket-visible field; not a census of undocketed submissions or specialist-counsel/split-quality validation
specialistCounselFlag,representation,binary,cert_elite_counsel,required,specialistCounselRate,required_not_row_coded,"candidate source family is identified, but no row-level petition cohort currently populates this field",Feldman-Kappner filtered elite-counsel rows and Lazarus OT2005 non-SG amicus rows as bounded proxy slices,code `specialistCounselFlag` from Feldman-Kappner filtered elite-counsel rows and Lazarus OT2005 non-SG amicus rows as bounded proxy slices,counsel and amicus signals are coded without reducing the denominator to only high-success attorney subsets,no validation upgrade until populated on row-level petition or source-sample rows that reconcile to their denominator
formerClerkCounselFlag,representation,binary,cert_elite_counsel,recommended,barCapital,recommended_not_row_coded,recommended field for later row-level coding; absent from the current benchmark evidence boundary,Feldman-Kappner filtered elite-counsel rows and Lazarus OT2005 non-SG amicus rows as bounded proxy slices,code `formerClerkCounselFlag` from Feldman-Kappner filtered elite-counsel rows and Lazarus OT2005 non-SG amicus rows as bounded proxy slices,counsel and amicus signals are coded without reducing the denominator to only high-success attorney subsets,no validation upgrade until populated on row-level petition or source-sample rows that reconcile to their denominator
allegedSplitFlag,split_quality,binary,cert_split_quality,required,lowerCourtSplitDepth,required_not_row_coded,"candidate source family is identified, but no row-level petition cohort currently populates this field",Beim-Rader conflict rows as a secondary split-quality proxy before locating underlying petition records,code `allegedSplitFlag` from Beim-Rader conflict rows as a secondary split-quality proxy before locating underlying petition records,"alleged split, genuine split, split depth, maturity, and disposition are coded in the same petition or conflict sample",no validation upgrade until populated on row-level petition or source-sample rows that reconcile to their denominator
genuineSplitFlag,split_quality,binary,cert_split_quality,required,genuineLowerCourtSplitRate,required_not_row_coded,"candidate source family is identified, but no row-level petition cohort currently populates this field",Beim-Rader conflict rows as a secondary split-quality proxy before locating underlying petition records,code `genuineSplitFlag` from Beim-Rader conflict rows as a secondary split-quality proxy before locating underlying petition records,"alleged split, genuine split, split depth, maturity, and disposition are coded in the same petition or conflict sample",no validation upgrade until populated on row-level petition or source-sample rows that reconcile to their denominator
splitDepth,split_quality,number,cert_split_quality,recommended,lowerCourtSplitDepth,recommended_not_row_coded,recommended field for later row-level coding; absent from the current benchmark evidence boundary,Beim-Rader conflict rows as a secondary split-quality proxy before locating underlying petition records,code `splitDepth` from Beim-Rader conflict rows as a secondary split-quality proxy before locating underlying petition records,"alleged split, genuine split, split depth, maturity, and disposition are coded in the same petition or conflict sample",no validation upgrade until populated on row-level petition or source-sample rows that reconcile to their denominator
vehicleQualityObjection,split_quality,binary,cert_split_quality;cert_petition_denominator,recommended,vehicleQuality,recommended_not_row_coded,recommended field for later row-level coding; absent from the current benchmark evidence boundary,Beim-Rader conflict rows as a secondary split-quality proxy before locating underlying petition records; OT2023-OT2024 official docketed cohorts complete; next add another mature term or an issue-coded constitutional-review subset,code `vehicleQualityObjection` from Beim-Rader conflict rows as a secondary split-quality proxy before locating underlying petition records; OT2023-OT2024 official docketed cohorts complete; next add another mature term or an issue-coded constitutional-review subset,"alleged split, genuine split, split depth, maturity, and disposition are coded in the same petition or conflict sample; closed petition cohort separates paid and IFP filing, disposition, grant, and set-for-argument status",no validation upgrade until populated on row-level petition or source-sample rows that reconcile to their denominator
relistCount,procedure,number,cert_petition_denominator;cert_cvsg_signal,recommended,relistRate,closed_docketed_cohort_complete,"The independently enumerated OT2023 cohort contains 4222 paid/IFP dockets and 4033 certiorari petitions; `relistCount` is populated for 4222/4222 all-docket rows and 4033/4033 certiorari rows, with blanks retained only where the field is structurally conditional or not applicable",OT2023-OT2024 official docketed cohorts complete; next add another mature term or an issue-coded constitutional-review subset; OT2023-OT2024 direct CVSG-request incidence complete; next add SG recommendation and Court-follow-through coding,retain `relistCount` in the closed cohort and re-run the official-docket extractor when refreshing the publication snapshot,met for the closed OT2023 docketed-intake cohort; preserve source and denominator provenance,direct closed docketed-intake evidence for this docket-visible field; not a census of undocketed submissions or specialist-counsel/split-quality validation
dispositionDate,disposition,date,cert_petition_denominator;cert_cfr_response;cert_cvsg_signal,required,certiorariAdmissionRate,closed_docketed_cohort_complete,"The independently enumerated OT2023 cohort contains 4222 paid/IFP dockets and 4033 certiorari petitions; `dispositionDate` is populated for 4033/4222 all-docket rows and 4033/4033 certiorari rows, with blanks retained only where the field is structurally conditional or not applicable",OT2023-OT2024 official docketed cohorts complete; next add another mature term or an issue-coded constitutional-review subset; OT2023-OT2024 direct CFR incidence complete; next add respondent and SG-response coding or another mature term; OT2023-OT2024 direct CVSG-request incidence complete; next add SG recommendation and Court-follow-through coding,retain `dispositionDate` in the closed cohort and re-run the official-docket extractor when refreshing the publication snapshot,met for the closed OT2023 docketed-intake cohort; preserve source and denominator provenance,direct closed docketed-intake evidence for this docket-visible field; not a census of undocketed submissions or specialist-counsel/split-quality validation
certDisposition,disposition,categorical,cert_petition_denominator;cert_cfr_response;cert_cvsg_signal,required,certiorariAdmissionRate,closed_docketed_cohort_complete,"The independently enumerated OT2023 cohort contains 4222 paid/IFP dockets and 4033 certiorari petitions; `certDisposition` is populated for 4222/4222 all-docket rows and 4033/4033 certiorari rows, with blanks retained only where the field is structurally conditional or not applicable",OT2023-OT2024 official docketed cohorts complete; next add another mature term or an issue-coded constitutional-review subset; OT2023-OT2024 direct CFR incidence complete; next add respondent and SG-response coding or another mature term; OT2023-OT2024 direct CVSG-request incidence complete; next add SG recommendation and Court-follow-through coding,retain `certDisposition` in the closed cohort and re-run the official-docket extractor when refreshing the publication snapshot,met for the closed OT2023 docketed-intake cohort; preserve source and denominator provenance,direct closed docketed-intake evidence for this docket-visible field; not a census of undocketed submissions or specialist-counsel/split-quality validation
granted,disposition,binary,cert_petition_denominator;cert_cfr_response;cert_cvsg_signal,required,certiorariAdmissionRate,closed_docketed_cohort_complete,"The independently enumerated OT2023 cohort contains 4222 paid/IFP dockets and 4033 certiorari petitions; `granted` is populated for 4033/4222 all-docket rows and 4033/4033 certiorari rows, with blanks retained only where the field is structurally conditional or not applicable",OT2023-OT2024 official docketed cohorts complete; next add another mature term or an issue-coded constitutional-review subset; OT2023-OT2024 direct CFR incidence complete; next add respondent and SG-response coding or another mature term; OT2023-OT2024 direct CVSG-request incidence complete; next add SG recommendation and Court-follow-through coding,retain `granted` in the closed cohort and re-run the official-docket extractor when refreshing the publication snapshot,met for the closed OT2023 docketed-intake cohort; preserve source and denominator provenance,direct closed docketed-intake evidence for this docket-visible field; not a census of undocketed submissions or specialist-counsel/split-quality validation
grantSetForArgument,disposition,binary,cert_petition_denominator,recommended,certiorariAdmissionRate,closed_docketed_cohort_complete,"The independently enumerated OT2023 cohort contains 4222 paid/IFP dockets and 4033 certiorari petitions; `grantSetForArgument` is populated for 4034/4222 all-docket rows and 4033/4033 certiorari rows, with blanks retained only where the field is structurally conditional or not applicable",OT2023-OT2024 official docketed cohorts complete; next add another mature term or an issue-coded constitutional-review subset,retain `grantSetForArgument` in the closed cohort and re-run the official-docket extractor when refreshing the publication snapshot,met for the closed OT2023 docketed-intake cohort; preserve source and denominator provenance,direct closed docketed-intake evidence for this docket-visible field; not a census of undocketed submissions or specialist-counsel/split-quality validation
gvrOrSummaryDisposition,disposition,binary,cert_petition_denominator;cert_cvsg_signal,recommended,conditionalReversalProbability,closed_docketed_cohort_complete,"The independently enumerated OT2023 cohort contains 4222 paid/IFP dockets and 4033 certiorari petitions; `gvrOrSummaryDisposition` is populated for 4033/4222 all-docket rows and 4033/4033 certiorari rows, with blanks retained only where the field is structurally conditional or not applicable",OT2023-OT2024 official docketed cohorts complete; next add another mature term or an issue-coded constitutional-review subset; OT2023-OT2024 direct CVSG-request incidence complete; next add SG recommendation and Court-follow-through coding,retain `gvrOrSummaryDisposition` in the closed cohort and re-run the official-docket extractor when refreshing the publication snapshot,met for the closed OT2023 docketed-intake cohort; preserve source and denominator provenance,direct closed docketed-intake evidence for this docket-visible field; not a census of undocketed submissions or specialist-counsel/split-quality validation
meritsDocket,merits_followthrough,string,cert_petition_denominator;cert_cvsg_signal,recommended,meritsTransferRate,closed_docketed_cohort_complete,"The independently enumerated OT2023 cohort contains 4222 paid/IFP dockets and 4033 certiorari petitions; `meritsDocket` is populated for 71/4222 all-docket rows and 70/4033 certiorari rows, with blanks retained only where the field is structurally conditional or not applicable",OT2023-OT2024 official docketed cohorts complete; next add another mature term or an issue-coded constitutional-review subset; OT2023-OT2024 direct CVSG-request incidence complete; next add SG recommendation and Court-follow-through coding,retain `meritsDocket` in the closed cohort and re-run the official-docket extractor when refreshing the publication snapshot,met for the closed OT2023 docketed-intake cohort; preserve source and denominator provenance,direct closed docketed-intake evidence for this docket-visible field; not a census of undocketed submissions or specialist-counsel/split-quality validation
meritsDecisionDate,merits_followthrough,date,cert_petition_denominator;cert_cvsg_signal,recommended,conditionalReversalProbability,closed_docketed_cohort_partial,The closed OT2023 docketed cohort populates `meritsDecisionDate` for 53/4222 all-docket rows and 50/4033 certiorari rows; this field remains partial even though the paid/IFP and certiorari denominators are closed,OT2023-OT2024 official docketed cohorts complete; next add another mature term or an issue-coded constitutional-review subset; OT2023-OT2024 direct CVSG-request incidence complete; next add SG recommendation and Court-follow-through coding,"complete or validate the remaining `meritsDecisionDate` rows without changing the closed 4,222-docket denominator","closed petition cohort separates paid and IFP filing, disposition, grant, and set-for-argument status; CVSG request, SG recommendation, Court follow-through, and disposition are coded on a known petition denominator",bounded field coverage inside a closed docketed-intake cohort; not complete field-level validation
meritsOutcome,merits_followthrough,categorical,cert_petition_denominator;cert_cvsg_signal,recommended,conditionalReversalProbability,closed_docketed_cohort_partial,The closed OT2023 docketed cohort populates `meritsOutcome` for 53/4222 all-docket rows and 50/4033 certiorari rows; this field remains partial even though the paid/IFP and certiorari denominators are closed,OT2023-OT2024 official docketed cohorts complete; next add another mature term or an issue-coded constitutional-review subset; OT2023-OT2024 direct CVSG-request incidence complete; next add SG recommendation and Court-follow-through coding,"complete or validate the remaining `meritsOutcome` rows without changing the closed 4,222-docket denominator","closed petition cohort separates paid and IFP filing, disposition, grant, and set-for-argument status; CVSG request, SG recommendation, Court follow-through, and disposition are coded on a known petition denominator",bounded field coverage inside a closed docketed-intake cohort; not complete field-level validation
reversalOrVacatur,merits_followthrough,binary,cert_petition_denominator;cert_cvsg_signal,recommended,conditionalReversalProbability,closed_docketed_cohort_partial,The closed OT2023 docketed cohort populates `reversalOrVacatur` for 49/4222 all-docket rows and 47/4033 certiorari rows; this field remains partial even though the paid/IFP and certiorari denominators are closed,OT2023-OT2024 official docketed cohorts complete; next add another mature term or an issue-coded constitutional-review subset; OT2023-OT2024 direct CVSG-request incidence complete; next add SG recommendation and Court-follow-through coding,"complete or validate the remaining `reversalOrVacatur` rows without changing the closed 4,222-docket denominator","closed petition cohort separates paid and IFP filing, disposition, grant, and set-for-argument status; CVSG request, SG recommendation, Court follow-through, and disposition are coded on a known petition denominator",bounded field coverage inside a closed docketed-intake cohort; not complete field-level validation
coderNotes,quality_control,text,all,recommended,all,closed_docketed_cohort_complete,"The independently enumerated OT2023 cohort contains 4222 paid/IFP dockets and 4033 certiorari petitions; `coderNotes` is populated for 4222/4222 all-docket rows and 4033/4033 certiorari rows, with blanks retained only where the field is structurally conditional or not applicable",,retain `coderNotes` in the closed cohort and re-run the official-docket extractor when refreshing the publication snapshot,met for the closed OT2023 docketed-intake cohort; preserve source and denominator provenance,direct closed docketed-intake evidence for this docket-visible field; not a census of undocketed submissions or specialist-counsel/split-quality validation
