caseKey,caseName,caseDescription,scenarioKey,scenario,totalBills,potentialBillsPerRun,enactedBills,enactedPerRun,floorPerRun,productivity,floor,avgSupport,welfare,cooperation,compromise,gridlock,accessDenied,committeeRejected,challengeRate,lowSupport,popularFail,policyShift,proposerGain,lobbyCapture,publicAlignment,antiLobbyingSuccess,privateGainRatio,lobbySpendPerBill,defensiveLobbyingShare,captureReturnOnSpend,publicPreferenceDistortion,amendmentRate,amendmentMovement,vetoes,overriddenVetoes
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-adaptive-track,Default pass + adaptive tracks,9000,60.000,3932,26.213,55.813,0.437,0.930,0.565,0.604,0.247,0.173,0.563,0.069,0.001,0.000,0.245,0.184,0.217,0.398,0.197,0.815,0.907,0.375,0.000,0.000,0.000,0.185,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-sunset-trial,Default pass + sunset trial,9000,60.000,4277,28.513,60.000,0.475,1.000,0.555,0.615,0.264,0.154,0.525,0.000,0.000,0.000,0.357,0.103,0.271,0.460,0.177,0.826,0.975,0.300,0.000,0.000,0.000,0.174,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-earned-credits,Default pass + earned proposal credits,9000,60.000,6542,43.613,51.393,0.727,0.857,0.535,0.508,0.389,0.114,0.273,0.143,0.000,0.000,0.441,0.123,0.566,0.644,0.247,0.807,0.904,0.546,0.000,0.000,0.000,0.193,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,bicameral-majority,Bicameral simple majority,9000,60.000,1531,10.207,60.000,0.170,1.000,0.624,0.671,0.106,0.281,0.830,0.000,0.000,0.000,0.000,0.590,0.052,0.238,0.204,0.825,0.513,0.379,0.000,0.000,0.000,0.175,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,presidential-veto,Bicameral majority + presidential veto,9000,60.000,995,6.633,60.000,0.111,1.000,0.639,0.694,0.071,0.315,0.889,0.000,0.000,0.000,0.000,0.716,0.030,0.200,0.199,0.825,0.353,0.353,0.000,0.000,0.000,0.175,0.000,0.000,514,5
low-polarization,Low Polarization,Legislators are less ideologically clustered.,simple-majority,Unicameral simple majority,9000,60.000,4658,31.053,60.000,0.518,1.000,0.632,0.648,0.327,0.271,0.482,0.000,0.000,0.000,0.000,0.162,0.165,0.228,0.219,0.852,0.885,0.393,0.000,0.000,0.000,0.148,0.000,0.000,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,simple-majority-mediation,Unicameral majority + mediation,9000,60.000,5314,35.427,60.000,0.590,1.000,0.627,0.634,0.370,0.263,0.410,0.000,0.000,0.000,0.000,0.114,0.184,0.245,0.227,0.851,0.897,0.414,0.000,0.000,0.000,0.149,0.843,0.101,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,simple-majority-lobby-firewall,Unicameral majority + lobby firewall,9000,60.000,4625,30.833,60.000,0.514,1.000,0.649,0.655,0.334,0.279,0.486,0.000,0.000,0.000,0.000,0.140,0.167,0.231,0.205,0.867,0.908,0.357,0.000,0.000,0.000,0.133,0.000,0.000,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,supermajority-60,Unicameral 60 percent passage,9000,60.000,2606,17.373,60.000,0.290,1.000,0.684,0.701,0.198,0.351,0.710,0.000,0.000,0.000,0.000,0.398,0.066,0.155,0.211,0.854,0.558,0.360,0.000,0.000,0.000,0.146,0.000,0.000,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,default-pass,Default pass unless 2/3 block,9000,60.000,7582,50.547,60.000,0.842,1.000,0.574,0.579,0.484,0.197,0.158,0.000,0.000,0.000,0.324,0.023,0.396,0.334,0.238,0.837,0.995,0.469,0.000,0.000,0.000,0.163,0.000,0.000,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,default-pass-mediation,Default pass + mediated amendments,9000,60.000,8434,56.227,60.000,0.937,1.000,0.570,0.564,0.534,0.203,0.063,0.000,0.000,0.000,0.320,0.007,0.355,0.311,0.243,0.840,0.997,0.494,0.000,0.000,0.000,0.160,0.858,0.103,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,default-pass-budgeted-lobbying,Default pass + budgeted lobbying,9000,60.000,7566,50.440,60.000,0.841,1.000,0.573,0.579,0.482,0.196,0.159,0.000,0.000,0.000,0.323,0.024,0.393,0.331,0.241,0.838,0.992,0.472,0.106,0.635,1.915,0.162,0.000,0.000,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,default-pass-budgeted-lobbying-mediation,Default pass + budgeted lobbying + mediation,9000,60.000,8436,56.240,60.000,0.937,1.000,0.569,0.563,0.533,0.202,0.063,0.000,0.000,0.000,0.321,0.007,0.355,0.310,0.246,0.841,0.993,0.499,0.106,0.635,2.183,0.159,0.862,0.103,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,default-pass-budgeted-lobbying-transparency,Default pass + budgeted lobbying + transparency,9000,60.000,7551,50.340,60.000,0.839,1.000,0.570,0.580,0.479,0.196,0.161,0.000,0.000,0.000,0.335,0.023,0.390,0.331,0.179,0.836,0.997,0.443,0.106,0.635,1.419,0.164,0.000,0.000,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,default-pass-budgeted-lobbying-bundle,Default pass + budgeted lobbying + anti-capture bundle,9000,60.000,6903,46.020,58.627,0.767,0.977,0.586,0.596,0.449,0.207,0.233,0.023,0.000,0.000,0.313,0.035,0.349,0.322,0.162,0.854,0.979,0.363,0.106,0.635,1.176,0.146,0.000,0.000,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,default-pass-anti-capture-bundle,Default pass + anti-capture bundle,9000,60.000,6956,46.373,58.640,0.773,0.977,0.586,0.595,0.453,0.206,0.227,0.023,0.000,0.000,0.305,0.030,0.354,0.325,0.162,0.853,0.978,0.362,0.000,0.000,0.000,0.147,0.000,0.000,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,default-pass-informed-guarded,Default pass + informed guarded committee,9000,60.000,3870,25.800,25.900,0.430,0.432,0.629,0.666,0.270,0.279,0.570,0.359,0.209,0.000,0.110,0.259,0.129,0.208,0.219,0.885,0.773,0.382,0.000,0.000,0.000,0.115,0.000,0.000,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,default-pass-challenge,Default pass + challenge vouchers,9000,60.000,5914,39.427,60.000,0.657,1.000,0.593,0.606,0.390,0.236,0.343,0.000,0.000,0.499,0.185,0.127,0.250,0.266,0.226,0.847,0.934,0.429,0.000,0.000,0.000,0.153,0.000,0.000,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,default-pass-cross-bloc,Default pass + cross-bloc cosponsors,9000,60.000,5456,36.373,36.900,0.606,0.615,0.603,0.637,0.365,0.261,0.394,0.385,0.000,0.000,0.205,0.137,0.189,0.212,0.203,0.850,0.978,0.345,0.000,0.000,0.000,0.150,0.000,0.000,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,default-pass-adaptive-track,Default pass + adaptive tracks,9000,60.000,5610,37.400,58.300,0.623,0.972,0.611,0.633,0.381,0.241,0.377,0.028,0.001,0.000,0.146,0.068,0.231,0.261,0.208,0.845,0.958,0.368,0.000,0.000,0.000,0.155,0.000,0.000,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,default-pass-sunset-trial,Default pass + sunset trial,9000,60.000,5612,37.413,60.000,0.624,1.000,0.603,0.642,0.376,0.227,0.376,0.000,0.000,0.000,0.230,0.057,0.250,0.281,0.180,0.855,0.986,0.292,0.000,0.000,0.000,0.145,0.000,0.000,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,default-pass-earned-credits,Default pass + earned proposal credits,9000,60.000,6919,46.127,54.100,0.769,0.902,0.577,0.586,0.444,0.200,0.231,0.098,0.000,0.000,0.311,0.080,0.353,0.325,0.232,0.838,0.940,0.450,0.000,0.000,0.000,0.162,0.000,0.000,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,bicameral-majority,Bicameral simple majority,9000,60.000,3682,24.547,60.000,0.409,1.000,0.654,0.670,0.267,0.302,0.591,0.000,0.000,0.000,0.000,0.256,0.116,0.198,0.214,0.853,0.742,0.374,0.000,0.000,0.000,0.147,0.000,0.000,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,presidential-veto,Bicameral majority + presidential veto,9000,60.000,2607,17.380,60.000,0.290,1.000,0.670,0.688,0.194,0.328,0.710,0.000,0.000,0.000,0.000,0.432,0.075,0.179,0.218,0.852,0.538,0.375,0.000,0.000,0.000,0.148,0.000,0.000,969,10
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,simple-majority,Unicameral simple majority,9000,60.000,1505,10.033,60.000,0.167,1.000,0.580,0.652,0.097,0.236,0.833,0.000,0.000,0.000,0.000,0.591,0.063,0.294,0.202,0.806,0.548,0.383,0.000,0.000,0.000,0.194,0.000,0.000,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,simple-majority-mediation,Unicameral majority + mediation,9000,60.000,2189,14.593,60.000,0.243,1.000,0.567,0.605,0.138,0.198,0.757,0.000,0.000,0.000,0.000,0.515,0.112,0.416,0.230,0.804,0.616,0.478,0.000,0.000,0.000,0.196,0.917,0.208,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,simple-majority-lobby-firewall,Unicameral majority + lobby firewall,9000,60.000,1694,11.293,60.000,0.188,1.000,0.588,0.657,0.111,0.230,0.812,0.000,0.000,0.000,0.000,0.524,0.076,0.321,0.182,0.813,0.662,0.336,0.000,0.000,0.000,0.187,0.000,0.000,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,supermajority-60,Unicameral 60 percent passage,9000,60.000,365,2.433,60.000,0.041,1.000,0.654,0.729,0.027,0.390,0.959,0.000,0.000,0.000,0.000,0.868,0.007,0.109,0.202,0.797,0.137,0.341,0.000,0.000,0.000,0.203,0.000,0.000,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,default-pass,Default pass unless 2/3 block,9000,60.000,7567,50.447,60.000,0.841,1.000,0.520,0.461,0.437,0.081,0.159,0.000,0.000,0.000,0.486,0.029,0.763,0.795,0.262,0.786,0.992,0.644,0.000,0.000,0.000,0.214,0.000,0.000,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,default-pass-mediation,Default pass + mediated amendments,9000,60.000,7978,53.187,60.000,0.886,1.000,0.500,0.471,0.444,0.121,0.114,0.000,0.000,0.000,0.522,0.011,0.529,0.562,0.261,0.806,0.992,0.636,0.000,0.000,0.000,0.194,0.921,0.211,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,default-pass-budgeted-lobbying,Default pass + budgeted lobbying,9000,60.000,7582,50.547,60.000,0.842,1.000,0.519,0.461,0.437,0.081,0.158,0.000,0.000,0.000,0.484,0.024,0.764,0.794,0.264,0.788,0.993,0.650,0.097,0.655,2.286,0.212,0.000,0.000,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,default-pass-budgeted-lobbying-mediation,Default pass + budgeted lobbying + mediation,9000,60.000,7972,53.147,60.000,0.886,1.000,0.500,0.471,0.442,0.121,0.114,0.000,0.000,0.000,0.525,0.014,0.527,0.560,0.263,0.807,0.999,0.644,0.097,0.655,2.395,0.193,0.922,0.211,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,default-pass-budgeted-lobbying-transparency,Default pass + budgeted lobbying + transparency,9000,60.000,7536,50.240,60.000,0.837,1.000,0.518,0.462,0.434,0.081,0.163,0.000,0.000,0.000,0.489,0.025,0.762,0.797,0.204,0.781,1.000,0.630,0.097,0.655,1.752,0.219,0.000,0.000,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,default-pass-budgeted-lobbying-bundle,Default pass + budgeted lobbying + anti-capture bundle,9000,60.000,6802,45.347,57.067,0.756,0.951,0.521,0.482,0.394,0.085,0.244,0.049,0.000,0.000,0.478,0.032,0.690,0.800,0.183,0.795,0.945,0.467,0.097,0.655,1.418,0.205,0.000,0.000,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,default-pass-anti-capture-bundle,Default pass + anti-capture bundle,9000,60.000,6792,45.280,57.113,0.755,0.952,0.522,0.481,0.394,0.085,0.245,0.048,0.000,0.000,0.488,0.037,0.685,0.797,0.182,0.795,0.946,0.465,0.000,0.000,0.000,0.205,0.000,0.000,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,default-pass-informed-guarded,Default pass + informed guarded committee,9000,60.000,1385,9.233,9.300,0.154,0.155,0.561,0.656,0.086,0.229,0.846,0.617,0.228,0.000,0.269,0.616,0.051,0.240,0.196,0.843,0.522,0.358,0.000,0.000,0.000,0.157,0.000,0.000,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,default-pass-challenge,Default pass + challenge vouchers,9000,60.000,4970,33.133,60.000,0.552,1.000,0.501,0.477,0.277,0.102,0.448,0.000,0.000,0.500,0.455,0.304,0.408,0.630,0.250,0.796,0.827,0.602,0.000,0.000,0.000,0.204,0.000,0.000,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,default-pass-cross-bloc,Default pass + cross-bloc cosponsors,9000,60.000,1289,8.593,8.627,0.143,0.144,0.560,0.721,0.080,0.265,0.857,0.856,0.000,0.000,0.268,0.611,0.042,0.229,0.121,0.788,0.750,0.202,0.000,0.000,0.000,0.212,0.000,0.000,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,default-pass-adaptive-track,Default pass + adaptive tracks,9000,60.000,3305,22.033,54.507,0.367,0.908,0.539,0.594,0.198,0.147,0.633,0.091,0.000,0.000,0.321,0.234,0.196,0.438,0.188,0.791,0.876,0.354,0.000,0.000,0.000,0.209,0.000,0.000,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,default-pass-sunset-trial,Default pass + sunset trial,9000,60.000,3729,24.860,60.000,0.414,1.000,0.532,0.603,0.221,0.126,0.586,0.000,0.000,0.000,0.429,0.115,0.259,0.526,0.171,0.810,0.963,0.293,0.000,0.000,0.000,0.190,0.000,0.000,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,default-pass-earned-credits,Default pass + earned proposal credits,9000,60.000,6389,42.593,50.367,0.710,0.839,0.520,0.472,0.369,0.083,0.290,0.161,0.000,0.000,0.482,0.139,0.626,0.769,0.251,0.791,0.877,0.589,0.000,0.000,0.000,0.209,0.000,0.000,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,bicameral-majority,Bicameral simple majority,9000,60.000,910,6.067,60.000,0.101,1.000,0.607,0.679,0.061,0.290,0.899,0.000,0.000,0.000,0.000,0.721,0.028,0.200,0.192,0.811,0.348,0.348,0.000,0.000,0.000,0.189,0.000,0.000,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,presidential-veto,Bicameral majority + presidential veto,9000,60.000,533,3.553,60.000,0.059,1.000,0.615,0.698,0.036,0.312,0.941,0.000,0.000,0.000,0.000,0.828,0.015,0.196,0.195,0.793,0.200,0.345,0.000,0.000,0.000,0.207,0.000,0.000,344,1
low-party-loyalty,Low Party Loyalty,Party pressure is weak and legislators act more independently.,simple-majority,Unicameral simple majority,9000,60.000,2476,16.507,60.000,0.275,1.000,0.598,0.637,0.165,0.228,0.725,0.000,0.000,0.000,0.000,0.401,0.111,0.322,0.215,0.831,0.716,0.412,0.000,0.000,0.000,0.169,0.000,0.000,0,0
low-party-loyalty,Low Party Loyalty,Party pressure is weak and legislators act more independently.,simple-majority-mediation,Unicameral majority + mediation,9000,60.000,3462,23.080,60.000,0.385,1.000,0.588,0.598,0.226,0.201,0.615,0.000,0.000,0.000,0.000,0.300,0.176,0.411,0.239,0.832,0.779,0.495,0.000,0.000,0.000,0.168,0.903,0.178,0,0
low-party-loyalty,Low Party Loyalty,Party pressure is weak and legislators act more independently.,simple-majority-lobby-firewall,Unicameral majority + lobby firewall,9000,60.000,2623,17.487,60.000,0.291,1.000,0.610,0.641,0.178,0.224,0.709,0.000,0.000,0.000,0.000,0.362,0.125,0.347,0.196,0.847,0.813,0.362,0.000,0.000,0.000,0.153,0.000,0.000,0,0
low-party-loyalty,Low Party Loyalty,Party pressure is weak and legislators act more independently.,supermajority-60,Unicameral 60 percent passage,9000,60.000,886,5.907,60.000,0.098,1.000,0.666,0.715,0.066,0.349,0.902,0.000,0.000,0.000,0.000,0.717,0.023,0.171,0.197,0.830,0.326,0.339,0.000,0.000,0.000,0.170,0.000,0.000,0,0
low-party-loyalty,Low Party Loyalty,Party pressure is weak and legislators act more independently.,default-pass,Default pass unless 2/3 block,9000,60.000,7526,50.173,60.000,0.836,1.000,0.531,0.491,0.444,0.107,0.164,0.000,0.000,0.000,0.456,0.020,0.664,0.661,0.260,0.808,0.992,0.609,0.000,0.000,0.000,0.192,0.000,0.000,0,0
low-party-loyalty,Low Party Loyalty,Party pressure is weak and legislators act more independently.,default-pass-mediation,Default pass + mediated amendments,9000,60.000,8241,54.940,60.000,0.916,1.000,0.520,0.492,0.476,0.139,0.084,0.000,0.000,0.000,0.454,0.003,0.495,0.497,0.261,0.824,0.995,0.619,0.000,0.000,0.000,0.176,0.908,0.182,0,0
low-party-loyalty,Low Party Loyalty,Party pressure is weak and legislators act more independently.,default-pass-budgeted-lobbying,Default pass + budgeted lobbying,9000,60.000,7550,50.333,60.000,0.839,1.000,0.529,0.490,0.444,0.106,0.161,0.000,0.000,0.000,0.458,0.019,0.666,0.661,0.262,0.810,0.992,0.617,0.102,0.648,2.164,0.190,0.000,0.000,0,0
low-party-loyalty,Low Party Loyalty,Party pressure is weak and legislators act more independently.,default-pass-budgeted-lobbying-mediation,Default pass + budgeted lobbying + mediation,9000,60.000,8193,54.620,60.000,0.910,1.000,0.519,0.493,0.473,0.139,0.090,0.000,0.000,0.000,0.452,0.005,0.493,0.498,0.262,0.825,0.995,0.617,0.102,0.648,2.350,0.175,0.910,0.182,0,0
low-party-loyalty,Low Party Loyalty,Party pressure is weak and legislators act more independently.,default-pass-budgeted-lobbying-transparency,Default pass + budgeted lobbying + transparency,9000,60.000,7453,49.687,60.000,0.828,1.000,0.529,0.493,0.438,0.107,0.172,0.000,0.000,0.000,0.470,0.019,0.655,0.659,0.199,0.803,0.999,0.587,0.102,0.648,1.622,0.197,0.000,0.000,0,0
low-party-loyalty,Low Party Loyalty,Party pressure is weak and legislators act more independently.,default-pass-budgeted-lobbying-bundle,Default pass + budgeted lobbying + anti-capture bundle,9000,60.000,6713,44.753,57.213,0.746,0.954,0.535,0.515,0.399,0.111,0.254,0.046,0.000,0.000,0.451,0.031,0.589,0.656,0.178,0.821,0.960,0.438,0.102,0.648,1.306,0.179,0.000,0.000,0,0
low-party-loyalty,Low Party Loyalty,Party pressure is weak and legislators act more independently.,default-pass-anti-capture-bundle,Default pass + anti-capture bundle,9000,60.000,6773,45.153,57.240,0.753,0.954,0.534,0.512,0.402,0.112,0.247,0.046,0.000,0.000,0.453,0.027,0.594,0.656,0.178,0.820,0.957,0.442,0.000,0.000,0.000,0.180,0.000,0.000,0,0
low-party-loyalty,Low Party Loyalty,Party pressure is weak and legislators act more independently.,default-pass-informed-guarded,Default pass + informed guarded committee,9000,60.000,2086,13.907,14.000,0.232,0.233,0.589,0.651,0.137,0.237,0.768,0.554,0.213,0.000,0.178,0.482,0.079,0.253,0.210,0.870,0.621,0.380,0.000,0.000,0.000,0.130,0.000,0.000,0,0
low-party-loyalty,Low Party Loyalty,Party pressure is weak and legislators act more independently.,default-pass-challenge,Default pass + challenge vouchers,9000,60.000,5249,34.993,60.000,0.583,1.000,0.528,0.513,0.308,0.134,0.417,0.000,0.000,0.499,0.374,0.239,0.377,0.527,0.247,0.821,0.868,0.566,0.000,0.000,0.000,0.179,0.000,0.000,0,0
low-party-loyalty,Low Party Loyalty,Party pressure is weak and legislators act more independently.,default-pass-cross-bloc,Default pass + cross-bloc cosponsors,9000,60.000,2221,14.807,14.860,0.247,0.248,0.586,0.678,0.145,0.259,0.753,0.752,0.000,0.000,0.189,0.473,0.078,0.248,0.161,0.835,0.866,0.270,0.000,0.000,0.000,0.165,0.000,0.000,0,0
low-party-loyalty,Low Party Loyalty,Party pressure is weak and legislators act more independently.,default-pass-adaptive-track,Default pass + adaptive tracks,9000,60.000,3937,26.247,55.360,0.437,0.923,0.568,0.602,0.248,0.172,0.563,0.077,0.001,0.000,0.230,0.169,0.219,0.399,0.199,0.820,0.927,0.372,0.000,0.000,0.000,0.180,0.000,0.000,0,0
low-party-loyalty,Low Party Loyalty,Party pressure is weak and legislators act more independently.,default-pass-sunset-trial,Default pass + sunset trial,9000,60.000,4197,27.980,60.000,0.466,1.000,0.557,0.610,0.260,0.151,0.534,0.000,0.000,0.000,0.359,0.100,0.266,0.456,0.176,0.831,0.975,0.301,0.000,0.000,0.000,0.169,0.000,0.000,0,0
low-party-loyalty,Low Party Loyalty,Party pressure is weak and legislators act more independently.,default-pass-earned-credits,Default pass + earned proposal credits,9000,60.000,6437,42.913,51.000,0.715,0.850,0.532,0.503,0.380,0.111,0.285,0.150,0.000,0.000,0.452,0.120,0.553,0.641,0.247,0.812,0.893,0.555,0.000,0.000,0.000,0.188,0.000,0.000,0,0
low-party-loyalty,Low Party Loyalty,Party pressure is weak and legislators act more independently.,bicameral-majority,Bicameral simple majority,9000,60.000,1698,11.320,60.000,0.189,1.000,0.627,0.669,0.118,0.272,0.811,0.000,0.000,0.000,0.000,0.538,0.062,0.257,0.206,0.836,0.567,0.379,0.000,0.000,0.000,0.164,0.000,0.000,0,0
low-party-loyalty,Low Party Loyalty,Party pressure is weak and legislators act more independently.,presidential-veto,Bicameral majority + presidential veto,9000,60.000,1063,7.087,60.000,0.118,1.000,0.640,0.684,0.076,0.303,0.882,0.000,0.000,0.000,0.000,0.690,0.035,0.226,0.203,0.837,0.347,0.361,0.000,0.000,0.000,0.163,0.000,0.000,560,7
high-party-loyalty,High Party Loyalty,Party pressure is strong.,simple-majority,Unicameral simple majority,9000,60.000,2350,15.667,60.000,0.261,1.000,0.596,0.644,0.156,0.238,0.739,0.000,0.000,0.000,0.000,0.448,0.099,0.302,0.210,0.825,0.673,0.392,0.000,0.000,0.000,0.175,0.000,0.000,0,0
