sourceName,sourceUrl,files,reports,sections,rowCount,validationUses,confidenceLevels,comparabilityClasses
ECHR Analysis of Statistics 2024,ECHR Analysis of Statistics 2024 (turn28search0),supreme-court-simulator-litigation-pipeline-incentives.csv,Supreme Court Simulator - Litigation Pipeline Incentives.md,Filter and docket variables,2,strict_validation,High,official_admin_stats
ECHR Analysis of Statistics 2024,ECHR Analysis of Statistics 2024 (turn29search1),supreme-court-simulator-litigation-pipeline-incentives.csv,Supreme Court Simulator - Litigation Pipeline Incentives.md,Filter and docket variables,1,loose_calibration,High,official_admin_stats
Explaining Federal Bureaucratic Compliance with Supreme Court Opinions,PRQ article page (turn11search2),supreme-court-simulator-institutional-design-evidence.csv,Supreme Court Simulator - Institutional Design Evidence.md,Validation and calibration rows,2,loose_calibration;proxy_context,High,related post-judgment implementation mechanism;sample-coverage metric
Federal Constitutional Court annual material,BVerfG historical annual material (turn1search5),supreme-court-simulator-litigation-pipeline-incentives.csv,Supreme Court Simulator - Litigation Pipeline Incentives.md,Filter and docket variables,1,proxy_context,Moderate,official_admin_stats
Federal Constitutional Court annual report 2024,BVerfG annual report 2024 (turn20search4),supreme-court-simulator-litigation-pipeline-incentives.csv,Supreme Court Simulator - Litigation Pipeline Incentives.md,Filter and docket variables,2,loose_calibration;strict_validation,Moderate,official_admin_stats
Federal Constitutional Court statistics,https://www.bundesverfassungsgericht.de/SharedDocs/Downloads/EN/Statistik/statistics_2018.pdf?__blob=publicationFile&v=4,supreme-court-simulator-calibration-targets.csv,Supreme Court Simulator - Calibration Targets.md,Comparative and institutional design priors,1,design_prior,High,cross-jurisdiction-design-prior
Feldman & Kappner,https://www.villanovalawreview.com/article/10353-finding-certainty-in-cert-an-empirical-analysis-of-the-factors-involved-in-supreme-court-certiorari-decisions-from-2001-2015.pdf,supreme-court-simulator-calibration-targets.csv,Supreme Court Simulator - Calibration Targets.md,Certiorari calibration targets,2,proxy_context,Medium,filtered-subset
Goelzhauser,https://georgialawreview.org/wp-content/uploads/2025/01/Greg-Goelzhauser-The-Applications-Docket-58-Georgia-Law-Review-97-2023.pdf,supreme-court-simulator-calibration-targets.csv,Supreme Court Simulator - Calibration Targets.md,Emergency and shadow-docket calibration targets,12,loose_calibration;strict_validation,High,same-court-complete-applications
Journal of the Supreme Court,https://www.supremecourt.gov/orders/journal/jnl23.pdf,supreme-court-simulator-calibration-targets.csv,Supreme Court Simulator - Calibration Targets.md,Certiorari calibration targets,3,proxy_context;strict_validation,High;Medium,same-court-official-flow
"Journal statistics as of July 2, 2024",SCOTUS Journal Jnl23 (turn29view1),supreme-court-simulator-institutional-design-and-empirical-anchors.csv,Supreme Court Simulator - Institutional Design and Empirical Anchors.md,Supreme Court Simulator - Institutional Design and Empirical Anchors,2,loose_calibration;strict_validation,High,official journal statistic; cross-system limited
Judicial Compliance in District Courts,IRLE article page (turn8search0),supreme-court-simulator-institutional-design-evidence.csv,Supreme Court Simulator - Institutional Design Evidence.md,Validation and calibration rows,1,strict_validation,High,"direct mechanism, within-judiciary"
Kastellec & Taboni,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/266C0FA883BE4120FB4F37D387EFC61E/S2164657025100119a.pdf/database_of_the_united_states_supreme_courts_shadow_docket_19932025.pdf,supreme-court-simulator-calibration-targets.csv,Supreme Court Simulator - Calibration Targets.md,Emergency and shadow-docket calibration targets,2,proxy_context,High,broader-shadow-docket;time-series-admin-year
Larsen & Devins summarizing cert-stage amicus counts,Amicus Machine PDF (turn12search26),supreme-court-simulator-litigation-pipeline-incentives.csv,Supreme Court Simulator - Litigation Pipeline Incentives.md,"Repeat-player, case-mix, and access-path variables",2,loose_calibration;strict_validation,High,secondary_descriptive
Lazarus,https://static1.squarespace.com/static/60188505fb790b33c3d33a61/t/604aec44caad69337e3c7751/1615522885567/courses.RobertsCourtLazarus.pdf,supreme-court-simulator-calibration-targets.csv,Supreme Court Simulator - Calibration Targets.md,Certiorari calibration targets,3,proxy_context,High,single-term-snapshot
"Lazarus, “Docket Capture at the High Court”",Docket Capture at the High Court (turn42search5),supreme-court-simulator-litigation-pipeline-incentives.csv,Supreme Court Simulator - Litigation Pipeline Incentives.md,"Repeat-player, case-mix, and access-path variables",1,proxy_context,Moderate,scholarly_descriptive
"Liu & Kastellec, former clerks study",Former clerks study PDF (turn17search20),supreme-court-simulator-litigation-pipeline-incentives.csv,Supreme Court Simulator - Litigation Pipeline Incentives.md,"Repeat-player, case-mix, and access-path variables",2,loose_calibration,High,peer_reviewed_case_model
"McGuire, “Explaining Executive Success in the U.S. Supreme Court”",McGuire 1998 article landing page (turn5search4),supreme-court-simulator-litigation-pipeline-incentives.csv,Supreme Court Simulator - Litigation Pipeline Incentives.md,"Repeat-player, case-mix, and access-path variables",1,loose_calibration,Moderate,peer_reviewed_case_model
"McGuire, “Repeat Players in the Supreme Court”",McGuire 1995 PDF (turn15search17),supreme-court-simulator-litigation-pipeline-incentives.csv,Supreme Court Simulator - Litigation Pipeline Incentives.md,"Repeat-player, case-mix, and access-path variables",1,loose_calibration,High,peer_reviewed_case_model
Memoria 2024,Spain Constitutional Court Memoria 2024 (turn12view1),supreme-court-simulator-institutional-design-and-empirical-anchors.csv,Supreme Court Simulator - Institutional Design and Empirical Anchors.md,Supreme Court Simulator - Institutional Design and Empirical Anchors,3,loose_calibration;strict_validation,High,official annual process rate; within-jurisdiction strong;official annual process statistic; within-jurisdiction strong;official annual statistic; cross-system limited
Non-compliance of the European Court of Human Rights decisions: A machine learning analysis,IRLE article page (turn38search0),supreme-court-simulator-institutional-design-evidence.csv,Supreme Court Simulator - Institutional Design Evidence.md,"Proxy, context, and design-prior rows",2,design_prior;proxy_context,Medium,dataset-coverage metric;modeling prior
"Owens & Wohlfarth, state SG study",State SG study PDF (turn15search22),supreme-court-simulator-litigation-pipeline-incentives.csv,Supreme Court Simulator - Litigation Pipeline Incentives.md,"Repeat-player, case-mix, and access-path variables",2,loose_calibration,High,peer_reviewed_case_model
PJF Executive Report 2024,PJF Executive Report 2024 (turn8view2),supreme-court-simulator-institutional-design-and-empirical-anchors.csv,Supreme Court Simulator - Institutional Design and Empirical Anchors.md,Supreme Court Simulator - Institutional Design and Empirical Anchors,4,strict_validation,High,official annual process rate; within-jurisdiction strong;official annual statistic; within-jurisdiction strong
PJF Statistical Annex 2024,PJF Statistical Annex 2024 (turn8view0),supreme-court-simulator-institutional-design-and-empirical-anchors.csv,Supreme Court Simulator - Institutional Design and Empirical Anchors.md,Supreme Court Simulator - Institutional Design and Empirical Anchors,2,strict_validation,High,official annual statistic; cross-system limited
QPC statistical bulletin,QPC statistical bulletin (turn22view1),supreme-court-simulator-institutional-design-and-empirical-anchors.csv,Supreme Court Simulator - Institutional Design and Empirical Anchors.md,Supreme Court Simulator - Institutional Design and Empirical Anchors,3,strict_validation,High,official cumulative statistic; cross-system limited;official cumulative statistic; within-jurisdiction strong
QPC360 study on QPC litigants,QPC litigants study (turn31search14),supreme-court-simulator-litigation-pipeline-incentives.csv,Supreme Court Simulator - Litigation Pipeline Incentives.md,"Repeat-player, case-mix, and access-path variables",2,proxy_context,Moderate,official_portal_publication
"QPC360, “La QPC en chiffres”",QPC360 La QPC en chiffres (turn31search5),supreme-court-simulator-litigation-pipeline-incentives.csv,Supreme Court Simulator - Litigation Pipeline Incentives.md,Filter and docket variables,3,loose_calibration;strict_validation,High,official_portal_stats
Report on activities in 2024,Italy Report on activities in 2024 (turn26view0),supreme-court-simulator-institutional-design-and-empirical-anchors.csv,Supreme Court Simulator - Institutional Design and Empirical Anchors.md,Supreme Court Simulator - Institutional Design and Empirical Anchors,5,loose_calibration;strict_validation,High,official annual process statistic; cross-system limited;official annual statistic; cross-system limited;official annual statistic; within-jurisdiction strong
Reporter’s Guide to Applications,Reporter’s Guide to Applications (turn42view1),supreme-court-simulator-institutional-design-and-empirical-anchors.csv,Supreme Court Simulator - Institutional Design and Empirical Anchors.md,Supreme Court Simulator - Institutional Design and Empirical Anchors,2,design_prior,High,official procedural rule
Supreme Court Database,https://scdb.wustl.edu/,supreme-court-simulator-calibration-targets.csv,Supreme Court Simulator - Calibration Targets.md,Comparative and institutional design priors,1,design_prior,High,source-infrastructure
Supreme Court Journal Jnl23,Jnl23 PDF (turn0search3),supreme-court-simulator-litigation-pipeline-incentives.csv,Supreme Court Simulator - Litigation Pipeline Incentives.md,Filter and docket variables,1,strict_validation,High,official_admin_stats
Supreme Court Journal Jnl24,Jnl24 PDF (turn0search0),supreme-court-simulator-litigation-pipeline-incentives.csv,Supreme Court Simulator - Litigation Pipeline Incentives.md,Filter and docket variables,1,strict_validation,High,official_admin_stats
Supreme Court of Canada Year in Review,https://www.scc-csc.ca/review-revue/2023/2023-Numbers-Statistiques-eng.html,supreme-court-simulator-calibration-targets.csv,Supreme Court Simulator - Calibration Targets.md,Comparative and institutional design priors,1,design_prior,High,cross-jurisdiction-design-prior
Supreme Court of Canada Year in Review 2024,SCC Year in Review 2024 (turn30search0),supreme-court-simulator-litigation-pipeline-incentives.csv,Supreme Court Simulator - Litigation Pipeline Incentives.md,Filter and docket variables,1,strict_validation,High,official_admin_stats
"Sutton & Jones, cert process and state court decisions",Harvard Law Review Forum essay PDF (turn12search21),supreme-court-simulator-litigation-pipeline-incentives.csv,Supreme Court Simulator - Litigation Pipeline Incentives.md,"Repeat-player, case-mix, and access-path variables",2,proxy_context,High,peer_reviewed_descriptive
The Comparative Constitutional Compliance Database,CESifo working paper / database description (turn1search3),supreme-court-simulator-institutional-design-evidence.csv,Supreme Court Simulator - Institutional Design Evidence.md,"Proxy, context, and design-prior rows",1,design_prior,Medium,macro de-jure/de-facto prior
The Costa Rican Supreme Court’s Compliance Monitoring System,Journal of Politics article page (turn32search1),supreme-court-simulator-institutional-design-evidence.csv,Supreme Court Simulator - Institutional Design Evidence.md,Validation and calibration rows,3,loose_calibration;strict_validation,High;Medium-High,"monitored duration measure;monitored implementation mechanism, intervention effect;monitored implementation system, cross-national"
Thompson & Wachtell,https://patentlyo.com/media/docs/2012/12/16-2_Wachtell.pdf,supreme-court-simulator-calibration-targets.csv,Supreme Court Simulator - Calibration Targets.md,Certiorari calibration targets,10,loose_calibration;strict_validation,High;Medium,historical-cross-period;same-court-CVSG-subset;same-court-petition-universe
"United Kingdom, United Courts? Hierarchical Interactions and Attention to Precedent in the British Judiciary",PRQ article page (turn27search1),supreme-court-simulator-institutional-design-evidence.csv,Supreme Court Simulator - Institutional Design Evidence.md,"Proxy, context, and design-prior rows;Validation and calibration rows",2,design_prior;loose_calibration,Medium,cross-system capacity prior;direct lower-court comparative dataset
What’s in a Name: How US Supreme Court Justices Shape Law and Policy in the Lower Courts,Law & Social Inquiry article page (turn29search13),supreme-court-simulator-institutional-design-evidence.csv,Supreme Court Simulator - Institutional Design Evidence.md,Validation and calibration rows,1,proxy_context,Medium,dataset-coverage metric
