metricKey,jurisdiction,timePeriod,lowerBound,upperBound,observedValue,rawObservedValue,numeratorSpec,denominatorSpec,confidenceLevel,validationUse,coverageScope,comparabilityClass,sourceName,sourceUrl,rawSection,reportName,notes
grantRate_fourPlusCertStageAmici_paidNonOSG,U.S. Supreme Court,OT2005,0.5625,0.5625,0.5625,56.25% (9/16),granted non-SG paid petitions with four or more support briefs,all such petitions,High,proxy_context,non-SG paid petitions only,single-term-snapshot,Lazarus,https://static1.squarespace.com/static/60188505fb790b33c3d33a61/t/604aec44caad69337e3c7751/1615522885567/courses.RobertsCourtLazarus.pdf,Certiorari calibration targets,Supreme Court Simulator - Calibration Targets,Valuable for nonlinear amicus-salience specification.
specialistCounselGrantRate_JeffreyFisher_filtered,U.S. Supreme Court,2001–2015,0.291,0.291,0.291,29.1% (16/55),grants in petitions filed by Jeffrey Fisher,all Fisher petitions in filtered non-OSG success cohort,Medium,proxy_context,filtered elite-counsel subset,filtered-subset,Feldman & Kappner,https://www.villanovalawreview.com/article/10353-finding-certainty-in-cert-an-empirical-analysis-of-the-factors-involved-in-supreme-court-certiorari-decisions-from-2001-2015.pdf,Certiorari calibration targets,Supreme Court Simulator - Calibration Targets,Use as elite-counsel proxy only; sample is filtered to attorneys with >25 petitions and ≥15% success.
specialistCounselDenyRate_ChristopherLandau_filtered,U.S. Supreme Court,2001–2015,0.947,0.947,0.947,94.7% over 18 response-side appearances,denied petitions where Christopher Landau appeared for respondent,all Landau response-side appearances in filtered sample,Medium,proxy_context,filtered elite respondent-counsel subset,filtered-subset,Feldman & Kappner,https://www.villanovalawreview.com/article/10353-finding-certainty-in-cert-an-empirical-analysis-of-the-factors-involved-in-supreme-court-certiorari-decisions-from-2001-2015.pdf,Certiorari calibration targets,Supreme Court Simulator - Calibration Targets,Source reports rate and appearance count; numerator is not cleanly recoverable from excerpt.
genuineConflictAmongAlleged_rate,U.S. Supreme Court,1986–1993,0.14,0.14,0.14,14% of alleged conflicts were genuine,clerk-coded genuine conflicts among petitions alleging conflict,all petitions alleging conflict in clerk-coded sample,Medium,proxy_context,historical clerk-coded cert sample,historical-secondary-quote,Beim & Rader summarizing Epstein/Martin/Segal,https://campuspress.yale.edu/beim/files/2011/10/Beim_Rader_Conflicts-xxkfk0.pdf,Certiorari calibration targets,Supreme Court Simulator - Calibration Targets,Useful for alleged-vs-genuine split variable; underlying denominator not reproduced in the summary source.
genuineConflictGrantRate,U.S. Supreme Court,1986–1993,0.02,0.16,0.16,~16% genuine-conflict grants vs <2% no-conflict petitions,granted petitions with genuine conflict,petitions with genuine conflict; comparator is petitions without genuine conflict,Medium,proxy_context,historical clerk-coded cert sample,historical-secondary-quote,Beim & Rader summarizing Epstein/Martin/Segal,https://campuspress.yale.edu/beim/files/2011/10/Beim_Rader_Conflicts-xxkfk0.pdf,Certiorari calibration targets,Supreme Court Simulator - Calibration Targets,"Good for split-quality cue, but denominator is indirect in this source."
conflictUnresolvedShare_sample,U.S. federal courts of appeals / U.S. Supreme Court,conflicts born 2005+ within 2005–2013 study window,0.9,0.9,0.9,almost 90% unresolved,unresolved conflicts in courts-of-appeals conflict sample,all sampled conflicts,Medium,proxy_context,sampled intercircuit conflicts,sampled-conflict-lifecycle,Beim & Rader,https://campuspress.yale.edu/beim/files/2011/10/Beim_Rader_Conflicts-xxkfk0.pdf,Certiorari calibration targets,Supreme Court Simulator - Calibration Targets,Strong warning against assuming all splits mature toward review.
conflictResolutionMeanYears_coaSample,U.S. federal courts of appeals / U.S. Supreme Court,conflicts born 2005+ within 2005–2013 study window,1,1.5,1.5,mean 1.5 years; median 1,years from start of resolved conflict to Supreme Court resolution in courts-of-appeals sample,resolved conflicts born 2005+ in sample,High,loose_calibration,resolved conflicts only,sampled-conflict-lifecycle,Beim & Rader,https://campuspress.yale.edu/beim/files/2011/10/Beim_Rader_Conflicts-xxkfk0.pdf,Certiorari calibration targets,Supreme Court Simulator - Calibration Targets,Good split-maturity target for “early-resolution” branch.
conflictResolutionMeanYears_scotusSample,U.S. Supreme Court,conflicts born 2005+ within 2005–2012/2013 study window,1,1.2,1.2,mean 1.2 years; median 1,years from conflict start to Court resolution in Supreme Court-resolved sample,resolved conflicts born 2005+ in Supreme Court sample,High,loose_calibration,Supreme Court-resolved conflicts,sampled-conflict-lifecycle,Beim & Rader,https://campuspress.yale.edu/beim/files/2011/10/Beim_Rader_Conflicts-xxkfk0.pdf,Certiorari calibration targets,Supreme Court Simulator - Calibration Targets,Reinforces non-monotonic percolation assumption.
conflictResolvedAtThreeCircuitsOrFewer_share,U.S. Supreme Court,conflicts born 2005+ within 2005–2013 study window,,,,about half,resolved conflicts taken with three circuits or fewer involved,all resolved conflicts in Supreme Court data,Medium,loose_calibration,Supreme Court-resolved conflicts,sampled-conflict-lifecycle,Beim & Rader,https://campuspress.yale.edu/beim/files/2011/10/Beim_Rader_Conflicts-xxkfk0.pdf,Certiorari calibration targets,Supreme Court Simulator - Calibration Targets,Useful against a hard-coded “wait for many circuits” maturity rule.
applicationsTotal_courtDecided,U.S. Supreme Court,OT2003–OT2021,84,1565,1565,"1,565 total; median 84/term; range 57–126",Court-decided applications in Journal+docket dataset,terms in sample,High,strict_validation,all Court-decided applications,same-court-complete-applications,Goelzhauser,https://georgialawreview.org/wp-content/uploads/2025/01/Greg-Goelzhauser-The-Applications-Docket-58-Georgia-Law-Review-97-2023.pdf,Emergency and shadow-docket calibration targets,Supreme Court Simulator - Calibration Targets,"Use only for Court-decided applications, not in-chambers requests."
capitalApplications_total,U.S. Supreme Court,OT2003–OT2021,56,945,945,945 total; median 56/term; range 13–100,capital applications involving stays/injunctions,terms in sample,High,strict_validation,Court-decided capital applications,same-court-complete-applications,Goelzhauser,https://georgialawreview.org/wp-content/uploads/2025/01/Greg-Goelzhauser-The-Applications-Docket-58-Georgia-Law-Review-97-2023.pdf,Emergency and shadow-docket calibration targets,Supreme Court Simulator - Calibration Targets,Nearly all initially referred; keep separate from noncapital.
noncapitalApplications_total,U.S. Supreme Court,OT2003–OT2021,25,526,526,526 total; median 25/term; range 10–56,noncapital stays/injunctions decided by Court,terms in sample,High,strict_validation,Court-decided noncapital applications,same-court-complete-applications,Goelzhauser,https://georgialawreview.org/wp-content/uploads/2025/01/Greg-Goelzhauser-The-Applications-Docket-58-Georgia-Law-Review-97-2023.pdf,Emergency and shadow-docket calibration targets,Supreme Court Simulator - Calibration Targets,This is the core denominator for noncapital emergency modeling.
noncapitalResponseBriefRate,U.S. Supreme Court,OT2003–OT2021,0.06,0.92,0.53,53% overall; 92% initial referrals; 6% reapplications,noncapital applications with a response brief,all noncapital applications in each referral bucket,High,strict_validation,noncapital applications,same-court-complete-applications,Goelzhauser,https://georgialawreview.org/wp-content/uploads/2025/01/Greg-Goelzhauser-The-Applications-Docket-58-Georgia-Law-Review-97-2023.pdf,Emergency and shadow-docket calibration targets,Supreme Court Simulator - Calibration Targets,Best public response-request salience measure.
noncapitalCFRShare_amongResponses,U.S. Supreme Court,OT2003–OT2021,0.46,0.86,0.85,85% overall; 86% initial referrals; 46% reapplications,noncapital applications with response filed after CFR,noncapital applications attracting any response in each bucket,High,strict_validation,noncapital applications with responses,same-court-complete-applications,Goelzhauser,https://georgialawreview.org/wp-content/uploads/2025/01/Greg-Goelzhauser-The-Applications-Docket-58-Georgia-Law-Review-97-2023.pdf,Emergency and shadow-docket calibration targets,Supreme Court Simulator - Calibration Targets,Stronger than raw response presence for Court-driven attention.
noncapitalReplyRate_amongResponses,U.S. Supreme Court,OT2003–OT2021,0.38,0.82,0.8,80% overall; 82% initial referrals; 38% reapplications,noncapital responses that attracted a reply,all noncapital responses in each bucket,High,loose_calibration,noncapital response stage,same-court-complete-applications,Goelzhauser,https://georgialawreview.org/wp-content/uploads/2025/01/Greg-Goelzhauser-The-Applications-Docket-58-Georgia-Law-Review-97-2023.pdf,Emergency and shadow-docket calibration targets,Supreme Court Simulator - Calibration Targets,Useful for modeling escalating briefing depth.
noncapitalAmicusRate,U.S. Supreme Court,OT2003–OT2021,0.18,0.32,0.18,18% overall; 32% initial referrals,noncapital applications attracting at least one amicus brief,all noncapital applications in each bucket,High,loose_calibration,noncapital applications,same-court-complete-applications,Goelzhauser,https://georgialawreview.org/wp-content/uploads/2025/01/Greg-Goelzhauser-The-Applications-Docket-58-Georgia-Law-Review-97-2023.pdf,Emergency and shadow-docket calibration targets,Supreme Court Simulator - Calibration Targets,Emergency amicus participation is concentrated in initial-referral cases.
noncapitalGrantRate_overall,U.S. Supreme Court,OT2003–OT2021,0.23,0.23,0.23,23% overall,granted noncapital applications,"all noncapital applications, excluding 13 related dismissals as specified by source",High,strict_validation,noncapital applications,same-court-complete-applications,Goelzhauser,https://georgialawreview.org/wp-content/uploads/2025/01/Greg-Goelzhauser-The-Applications-Docket-58-Georgia-Law-Review-97-2023.pdf,Emergency and shadow-docket calibration targets,Supreme Court Simulator - Calibration Targets,Core noncapital emergency relief rate.
noncapitalGrantRate_initialReferral,U.S. Supreme Court,OT2003–OT2021,0,0.43,0.43,43% initial referrals; 0% reapplications,granted initially referred noncapital applications; granted reapplications,all noncapital applications in each referral bucket,High,strict_validation,noncapital applications by referral status,same-court-complete-applications,Goelzhauser,https://georgialawreview.org/wp-content/uploads/2025/01/Greg-Goelzhauser-The-Applications-Docket-58-Georgia-Law-Review-97-2023.pdf,Emergency and shadow-docket calibration targets,Supreme Court Simulator - Calibration Targets,Best public proxy for full-Court attention.
noncapitalGrantRate_noLinkedMerits,U.S. Supreme Court,OT2003–OT2021,0.25,0.41,0.25,25% overall; 41% initial referrals,granted noncapital applications not linked to a merits petition,all noncapital applications not linked to merits petition in each bucket,High,loose_calibration,noncapital applications without pending merits petition,same-court-complete-applications,Goelzhauser,https://georgialawreview.org/wp-content/uploads/2025/01/Greg-Goelzhauser-The-Applications-Docket-58-Georgia-Law-Review-97-2023.pdf,Emergency and shadow-docket calibration targets,Supreme Court Simulator - Calibration Targets,Strong candidate for status-quo/emergency-only submodel.
noncapitalExplanationRate_any,U.S. Supreme Court,OT2003–OT2021,0.09,0.16,0.09,9% overall; 16% initial referrals,noncapital applications with opinion or arguable order-based explanation,all noncapital applications in each bucket,High,strict_validation,noncapital applications,same-court-complete-applications,Goelzhauser,https://georgialawreview.org/wp-content/uploads/2025/01/Greg-Goelzhauser-The-Applications-Docket-58-Georgia-Law-Review-97-2023.pdf,Emergency and shadow-docket calibration targets,Supreme Court Simulator - Calibration Targets,Good transparency output variable.
noncapitalDissentRate_any,U.S. Supreme Court,OT2003–OT2021,0.25,0.46,0.25,25% overall; 46% initial referrals,noncapital applications with at least one dissent,all noncapital applications in each bucket,High,strict_validation,noncapital applications,same-court-complete-applications,Goelzhauser,https://georgialawreview.org/wp-content/uploads/2025/01/Greg-Goelzhauser-The-Applications-Docket-58-Georgia-Law-Review-97-2023.pdf,Emergency and shadow-docket calibration targets,Supreme Court Simulator - Calibration Targets,Good public-disagreement variable; more informative than raw grant/deny alone.
shadowDocketWrittenDissents_peak,U.S. Supreme Court,2018 Term,61,61,61,61 docket-days with a written dissent,shadow-docket docket-days accompanied by written dissent,docket-days with shadow-docket action in term,High,proxy_context,"broader shadow docket, not just applications",broader-shadow-docket,Kastellec & Taboni,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/266C0FA883BE4120FB4F37D387EFC61E/S2164657025100119a.pdf/database_of_the_united_states_supreme_courts_shadow_docket_19932025.pdf,Emergency and shadow-docket calibration targets,Supreme Court Simulator - Calibration Targets,Use only if your model includes non-application shadow-docket actions.
presidentialEmergencyApplications_peak,U.S. Supreme Court,"admin-year ending Oct. 3, 2025",22,2025,22,22 in first nine months of 2025 vs prior peak 16 in 2020,presidential emergency applications in administration-year bin,administration-years in series,High,proxy_context,emergency-application trend series,time-series-admin-year,Kastellec & Taboni,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/266C0FA883BE4120FB4F37D387EFC61E/S2164657025100119a.pdf/database_of_the_united_states_supreme_courts_shadow_docket_19932025.pdf,Emergency and shadow-docket calibration targets,Supreme Court Simulator - Calibration Targets,"Trend benchmark, not case-level denominator."
constitutionalComplaintShare_longRun,Germany,1951–2018,0.9657,0.9657,0.9657,"96.57% (229,899/238,048)",constitutional complaints,all proceedings brought before court,High,design_prior,long-run court-wide intake,cross-jurisdiction-design-prior,Federal Constitutional Court statistics,https://www.bundesverfassungsgericht.de/SharedDocs/Downloads/EN/Statistik/statistics_2018.pdf?__blob=publicationFile&v=4,Comparative and institutional design priors,Supreme Court Simulator - Calibration Targets,Shows mass-access constitutional-review ecology; not comparable to U.S. cert process except as architecture prior.
selfRepresentedLeaveApplicantsShare,Canada,2023,0.28,0.28,0.28,28%,self-represented leave applications,all applications for leave to appeal,High,design_prior,leave-to-appeal applications,cross-jurisdiction-design-prior,Supreme Court of Canada Year in Review,https://www.scc-csc.ca/review-revue/2023/2023-Numbers-Statistiques-eng.html,Comparative and institutional design priors,Supreme Court Simulator - Calibration Targets,Useful access-channel prior: selective leave systems still receive substantial nonprofessional intake.
meritsCaseCoverage_scdb,United States,1791–2024 Terms,2024,2024,2024,“cases decided by the Court” through 2024 terms,cases encoded in SCDB,decided cases covered by SCDB release,High,design_prior,merits-case data infrastructure,source-infrastructure,Supreme Court Database,https://scdb.wustl.edu/,Comparative and institutional design priors,Supreme Court Simulator - Calibration Targets,Use SCDB to compute reversal-on-merits or merits follow-through after setting your inclusion rule.
