metricKey,jurisdiction,timePeriod,lowerBound,upperBound,observedValue,rawObservedValue,numeratorSpec,denominatorSpec,confidenceLevel,validationUse,coverageScope,comparabilityClass,sourceName,sourceUrl,rawSection,reportName,notes
italy_directApplicationsInitiated,Italy,2024,39,39,39,39,proceedings initiated by direct application,all direct applications initiated in 2024,High,strict_validation,abstract/direct review channel,official annual statistic; within-jurisdiction strong,Report on activities in 2024,Italy Report on activities in 2024 (turn26view0),Supreme Court Simulator - Institutional Design and Empirical Anchors,Supreme Court Simulator - Institutional Design and Empirical Anchors,Mainly State–Region competences and similar institutional disputes.
italy_avgDaysPublicationToHearing,Italy,2024,191,191,191,191,average days from publication in Official Journal to hearing,all proceedings measured under court’s timing method,High,loose_calibration,timing of constitutional review,official annual process statistic; cross-system limited,Report on activities in 2024,Italy Report on activities in 2024 (turn26view0),Supreme Court Simulator - Institutional Design and Empirical Anchors,Supreme Court Simulator - Institutional Design and Empirical Anchors,Not filing-to-disposition; still valuable timing anchor.
mexico_amparoDirect_filings,Mexico,2024,182036,182036,182036,182036,direct amparo filings in collegiate circuit courts,all direct amparo matters entering those courts in 2024,High,strict_validation,federal judicial rights-protection channel,official annual statistic; cross-system limited,PJF Statistical Annex 2024,PJF Statistical Annex 2024 (turn8view0),Supreme Court Simulator - Institutional Design and Empirical Anchors,Supreme Court Simulator - Institutional Design and Empirical Anchors,"Federal judiciary-wide, not SCJN-only."
mexico_amparoIndirect_filings,Mexico,2024,643245,643245,643245,643245,indirect amparo filings in district courts,all indirect amparo matters entering those courts in 2024,High,strict_validation,federal judicial rights-protection channel,official annual statistic; cross-system limited,PJF Statistical Annex 2024,PJF Statistical Annex 2024 (turn8view0),Supreme Court Simulator - Institutional Design and Empirical Anchors,Supreme Court Simulator - Institutional Design and Empirical Anchors,Massive-volume anchor for broad-access review.
mexico_constroversias_promoted,Mexico,2024,449,449,449,449,constitutional controversies promoted,all constitutional controversies promoted in period,High,strict_validation,abstract/institutional review channel,official annual statistic; within-jurisdiction strong,PJF Executive Report 2024,PJF Executive Report 2024 (turn8view2),Supreme Court Simulator - Institutional Design and Empirical Anchors,Supreme Court Simulator - Institutional Design and Empirical Anchors,SCJN-side institutional review intake.
mexico_constroversias_admitted,Mexico,2024,299,299,299,299,constitutional controversies admitted,constitutional controversies promoted (449),High,strict_validation,abstract/institutional review filter,official annual process rate; within-jurisdiction strong,PJF Executive Report 2024,PJF Executive Report 2024 (turn8view2),Supreme Court Simulator - Institutional Design and Empirical Anchors,Supreme Court Simulator - Institutional Design and Empirical Anchors,Admission share ≈ 66.6%; use for institutional-case screening.
mexico_accionesInconstitucionalidad_promoted,Mexico,2024,197,197,197,197,actions of unconstitutionality promoted,all such actions promoted in period,High,strict_validation,abstract review channel,official annual statistic; within-jurisdiction strong,PJF Executive Report 2024,PJF Executive Report 2024 (turn8view2),Supreme Court Simulator - Institutional Design and Empirical Anchors,Supreme Court Simulator - Institutional Design and Empirical Anchors,SCJN-side abstract review intake.
mexico_accionesInconstitucionalidad_admitted,Mexico,2024,189,189,189,189,actions of unconstitutionality admitted,actions of unconstitutionality promoted (197),High,strict_validation,abstract review filter,official annual process rate; within-jurisdiction strong,PJF Executive Report 2024,PJF Executive Report 2024 (turn8view2),Supreme Court Simulator - Institutional Design and Empirical Anchors,Supreme Court Simulator - Institutional Design and Empirical Anchors,Admission share ≈ 95.9%; unusually high compared with complaint systems.
us_petitionsReviewedPerWeek,United States,contemporary court practice,130,130,130,approximately 130,petitions evaluated by Justices each week,one typical week of petition review,Medium,design_prior,pre-cert screening workload,official process statement; not annual statistic,Court and Its Procedures,SCOTUS procedures page (turn42view0),Supreme Court Simulator - Institutional Design and Empirical Anchors,Supreme Court Simulator - Institutional Design and Empirical Anchors,"Good for triage-capacity simulation, not annual validation."
us_emergencyStay_votesRequired,United States,contemporary rules,5,5,5,5,votes needed to grant stay when full Court acts,all Justices voting on stay,High,design_prior,emergency applications,official procedural rule,Reporter’s Guide to Applications,Reporter’s Guide to Applications (turn42view1),Supreme Court Simulator - Institutional Design and Empirical Anchors,Supreme Court Simulator - Institutional Design and Empirical Anchors,The same guide notes only four votes are required to grant certiorari.
us_cert_votesRequired,United States,contemporary rules,4,4,4,4,votes needed to grant certiorari,all Justices voting on certiorari,High,design_prior,cert gate,official procedural rule,Reporter’s Guide to Applications,Reporter’s Guide to Applications (turn42view1),Supreme Court Simulator - Institutional Design and Empirical Anchors,Supreme Court Simulator - Institutional Design and Empirical Anchors,Important for modeling mismatch between emergency and merits gates.
france_exAnteReview_deadlineStandard,France,current constitutional rule,30,30,30,30 days,standard maximum time to rule on ex ante referral,one ex ante referral,High,design_prior,abstract ex ante review,official constitutional rule,"Constitution of the Fifth Republic, Article 61",Élysée Constitution text (turn37view0),Supreme Court Simulator - Institutional Design and Empirical Anchors,Supreme Court Simulator - Institutional Design and Empirical Anchors,Constitution states “within one month.”
france_exAnteReview_deadlineUrgent,France,current constitutional rule,8,8,8,8 days,urgent maximum time to rule on ex ante referral,one urgent ex ante referral,High,design_prior,abstract ex ante review,official constitutional rule,"Constitution of the Fifth Republic, Article 61",Élysée Constitution text (turn37view0),Supreme Court Simulator - Institutional Design and Empirical Anchors,Supreme Court Simulator - Institutional Design and Empirical Anchors,Government may request urgent shortening to eight days.
canada_override_expiryWindow,Canada,current constitutional rule,5,5,5,5 years,duration of a section 33 declaration before expiry,one override declaration,High,design_prior,legislative override mechanism,official constitutional rule,Constitution Act 1982 / Charter s.33,Justice Laws Constitution Act 1982 (turn35search9),Supreme Court Simulator - Institutional Design and Empirical Anchors,Supreme Court Simulator - Institutional Design and Empirical Anchors,Strong democratic-responsiveness anchor; not a court statistic.
germany_constComplaint_shareNewCases,Germany,2024,0.96,0.96,0.96,approximately 96%,constitutional complaints among new cases,all new cases in Federal Constitutional Court in 2024,Medium,proxy_context,constitutional complaint channel,official annual-report snippet; cross-system limited,2024 annual report snippet,Federal Constitutional Court annual report 2024 (turn28search15),Supreme Court Simulator - Institutional Design and Empirical Anchors,Supreme Court Simulator - Institutional Design and Empirical Anchors,"Exact numerator unavailable from accessible official text in this run; use as proxy/context, not strict validation."
germany_constComplaint_cumulativeSince1951,Germany,1951 to 2023/2024 reporting,252000,252000,252000,more than 252000,constitutional complaints handled since court’s establishment,cumulative since 1951,Medium,proxy_context,long-run workload,official annual-report/history snippet,2023 annual report/history snippet,Federal Constitutional Court annual report 2023 (turn14search3),Supreme Court Simulator - Institutional Design and Empirical Anchors,Supreme Court Simulator - Institutional Design and Empirical Anchors,"Strong context on scale of complaint jurisdiction, but not annual flow."
