metricKey,jurisdiction,timePeriod,lowerBound,upperBound,observedValue,rawObservedValue,numeratorSpec,denominatorSpec,confidenceLevel,validationUse,coverageScope,comparabilityClass,sourceName,sourceUrl,rawSection,reportName,notes
usLowerCourtResponseDatasetN,United States,dataset spans signed majority-opinion responses; article published 2023,130000,130000,130000,"over 130,000 observations",Responses by U.S. Courts of Appeals to signed majority opinions of individual justices,None; universe of observations assembled by authors,Medium,proxy_context,Federal appellate attentiveness to Supreme Court opinions,dataset-coverage metric,What’s in a Name: How US Supreme Court Justices Shape Law and Policy in the Lower Courts,Law & Social Inquiry article page (turn29search13),Validation and calibration rows,Supreme Court Simulator - Institutional Design Evidence,Valuable for potential text/citation-based simulation modules; not itself a compliance rate.
ukLowerCourtResponsesDatasetN,United Kingdom,1970–2002,13000,13000,13000,"over 13,000 lower-court responses",Court of Appeal responses to House of Lords precedents,None; original dataset,Medium,loose_calibration,Comparative lower-court attentiveness to apex-court precedent,direct lower-court comparative dataset,"United Kingdom, United Courts? Hierarchical Interactions and Attention to Precedent in the British Judiciary",PRQ article page (turn27search1),Validation and calibration rows,Supreme Court Simulator - Institutional Design Evidence,"Strong comparative complement to U.S. citation/precedent studies, but measure is attentiveness to precedent rather than implementation of orders."
usTopCourtDirectReviewShareProxy,United States,OT 2023 filings / FY 2024 appeals,0.0017,0.0017,0.0017,0.17%,69 Supreme Court argued cases,"39,788 federal appeals filings",High,proxy_context,Apex-court direct review capacity relative to appellate throughput,system-capacity proxy,2024 Year-End Report on the Federal Judiciary,Official year-end report (turn4search4),"Proxy, context, and design-prior rows",Supreme Court Simulator - Institutional Design Evidence,Very helpful architecture constraint; comparability limit because periods differ and not all appeals are cert-eligible in the same way.
usSupremeCourtFilings,United States,OT 2023,69,4223,4223,"4,223 filings; 69 argued; 64 disposed",Supreme Court filings / argued / disposed cases,Supreme Court annual docket totals,High,proxy_context,Apex-court workload,official activity count,2024 Year-End Report on the Federal Judiciary,Official year-end report (turn4search4),"Proxy, context, and design-prior rows",Supreme Court Simulator - Institutional Design Evidence,Use for queue modeling and audit scarcity.
usCourtsOfAppealsFilings,United States,FY 2024,39788,39788,39788,"39,788 appeals",Appeals filings in regional courts of appeals,Annual total appeals filings,High,proxy_context,Intermediate appellate caseload,official activity count,2024 Year-End Report on the Federal Judiciary,Official year-end report (turn4search4),"Proxy, context, and design-prior rows",Supreme Court Simulator - Institutional Design Evidence,Use for network congestion and probability of top-level attention.
ukReviewRateHistoricalComparison,United Kingdom / United States,roughly 1970–2002 comparison window,0.01,0.3,0.3,UK 30%; US 1%,Cases reviewed by highest court,Petitions / cases presented to court of last resort in comparative table,Medium,design_prior,Comparative supervision density in two common-law hierarchies,cross-system capacity prior,"United Kingdom, United Courts? Hierarchical Interactions and Attention to Precedent in the British Judiciary",PRQ article page (turn27search1),"Proxy, context, and design-prior rows",Supreme Court Simulator - Institutional Design Evidence,"Useful for architecture, not direct behavioral validation."
echrNonExecutedLeadingCasesDatasetN,ECtHR member states,2012–2020,971,971,971,971 non-executed pending leading cases,Non-executed pending leading cases included in ML study,Universe of such cases in study period,Medium,proxy_context,Cross-national non-execution dataset,dataset-coverage metric,Non-compliance of the European Court of Human Rights decisions: A machine learning analysis,IRLE article page (turn38search0),"Proxy, context, and design-prior rows",Supreme Court Simulator - Institutional Design Evidence,Helpful for feature engineering and heterogeneity analysis; not itself an execution-rate estimate.
echrNonExecutionFeatureCount,ECtHR member states,2012–2020,8,232,232,232 factors per country-year over 8 years,Distinct variables assembled for ML analysis,Country-year feature set,Medium,design_prior,Feature richness for cross-state compliance forecasting,modeling prior,Non-compliance of the European Court of Human Rights decisions: A machine learning analysis,IRLE article page (turn38search0),"Proxy, context, and design-prior rows",Supreme Court Simulator - Institutional Design Evidence,Strong signal that execution is multi-causal and should not be reduced to ideology or fear of sanctions alone.
comparativeConstitutionalComplianceCoverage,cross-national,1900–2020,175,10000,175,"175 countries; over 10,000 country-year observations; 14 constitutional rules",Country-year observations with matched de jure and de facto indicators,Global country-year universe in database,Medium,design_prior,Broad constitutional compliance background,macro de-jure/de-facto prior,The Comparative Constitutional Compliance Database,CESifo working paper / database description (turn1search3),"Proxy, context, and design-prior rows",Supreme Court Simulator - Institutional Design Evidence,"Excellent macro prior for state-space design; poor direct proxy for lower-court narrowing because unit is country-year, not case/order."
southAfricaLandmarkCaseStudyN,South Africa,assessment released 2017; covers post-1994 constitutional jurisprudence,43,43,43,43 landmark cases,Landmark Constitutional Court and Supreme Court of Appeal cases studied,Selected landmark-case portfolio,Medium,proxy_context,Official impact assessment of cascade down government and society,official case-study coverage,Assessment of the Impact of Decisions of the Constitutional Court and Supreme Court of Appeal on the Transformation of Society,Department of Justice impact report (turn3search20),"Proxy, context, and design-prior rows",Supreme Court Simulator - Institutional Design Evidence,"Useful because the report explicitly studies how decisions “cascade” across spheres of government and identifies budget/interface/capacity barriers, but it is not a standardized compliance-rate dataset."
